Time,Ttest,TH,TM
0.00000,24.37000,121.31000,73.31000
0.00000,24.37000,121.31000,73.31000
0.00108,24.37000,121.31000,73.31000
0.00108,24.37000,121.31000,73.31000
0.00108,24.37000,121.31000,73.31000
0.00200,24.37000,121.37000,73.31000
0.00200,24.37000,121.37000,73.31000
0.00200,24.37000,121.37000,73.31000
0.00200,24.37000,121.37000,73.31000
0.00300,24.37000,121.37000,73.31000
0.00300,24.37000,121.37000,73.31000
0.00300,24.37000,121.37000,73.31000
0.00400,24.37000,121.37000,73.31000
0.00400,24.37000,121.37000,73.31000
0.00400,24.37000,121.37000,73.31000
0.00400,24.37000,121.37000,73.31000
0.00500,24.37000,121.37000,73.31000
0.00500,24.37000,121.37000,73.31000
0.00500,24.37000,121.37000,73.31000
0.00602,24.37000,121.37000,73.31000
0.00602,24.37000,121.37000,73.31000
0.00602,24.37000,121.37000,73.31000
0.00602,24.37000,121.37000,73.31000
0.00704,24.37000,121.37000,73.31000
0.00704,24.37000,121.37000,73.31000
0.00704,24.37000,121.37000,73.31000
0.00800,24.37000,121.37000,73.31000
0.00800,24.37000,121.37000,73.31000
0.00800,24.37000,121.44000,73.31000
1.16556,24.31000,111.75000,74.19000
1.19108,24.31000,111.75000,74.19000
1.21908,24.31000,111.75000,74.19000
1.24363,24.31000,111.75000,74.19000
1.26872,24.31000,111.75000,74.19000
1.29732,24.31000,111.75000,74.19000
1.32234,24.31000,111.75000,74.19000
1.34722,24.31000,111.75000,74.19000
1.37562,24.31000,111.75000,74.19000
1.40021,24.31000,111.75000,74.19000
1.42606,24.31000,111.75000,74.19000
1.45312,24.31000,111.75000,74.19000
1.47816,24.31000,110.56000,74.19000
1.50306,24.31000,110.56000,73.87000
1.53133,24.31000,110.56000,73.87000
1.55634,24.31000,110.56000,73.87000
1.58135,24.31000,110.56000,73.87000
1.60970,24.31000,110.56000,73.87000
1.63502,24.31000,110.56000,73.87000
1.65999,24.31000,110.56000,73.87000
1.68814,24.31000,110.56000,73.87000
1.71293,24.31000,110.56000,73.87000
1.73819,24.31000,110.56000,73.87000
1.76615,24.31000,110.50000,73.87000
1.79118,24.31000,110.50000,74.00000
1.81603,24.31000,110.50000,74.00000
1.84414,24.31000,110.50000,74.00000
1.86878,24.31000,110.50000,74.00000
1.89393,24.31000,110.50000,74.00000
1.92310,24.31000,110.50000,74.00000
1.94789,24.31000,110.50000,74.00000
1.97205,24.31000,110.50000,74.00000
2.00057,24.31000,110.50000,74.00000
2.02597,24.31000,110.50000,74.00000
2.05068,24.31000,110.44000,74.00000
2.07801,24.31000,110.44000,74.25000
2.10410,24.31000,110.44000,74.25000
2.12903,24.31000,110.44000,74.25000
2.15706,24.31000,110.44000,74.25000
2.18141,24.31000,110.44000,74.25000
2.20714,24.31000,110.44000,74.25000
2.23572,24.31000,110.44000,74.25000
2.25995,24.31000,110.44000,74.25000
2.28543,24.31000,110.44000,74.25000
2.31275,24.31000,110.44000,74.25000
2.33775,24.31000,110.44000,74.25000
2.36298,24.31000,110.44000,74.25000
2.39166,24.31000,110.44000,74.37000
2.41665,24.31000,110.44000,74.37000
2.44078,24.31000,110.44000,74.37000
2.46911,24.31000,110.44000,74.37000
2.49456,24.31000,110.44000,74.37000
2.51952,24.31000,110.44000,74.37000
2.54753,24.31000,110.44000,74.37000
2.57270,24.31000,110.44000,74.37000
2.59753,24.31000,110.44000,74.37000
2.62594,24.31000,110.37000,74.37000
2.65050,24.31000,110.37000,74.37000
2.67544,24.31000,110.37000,74.50000
2.70395,24.31000,110.37000,74.50000
2.72891,24.31000,110.37000,74.50000
2.75352,24.31000,110.37000,74.50000
2.78211,24.31000,110.37000,74.50000
2.80654,24.31000,110.37000,74.50000
2.83217,24.31000,110.37000,74.50000
2.86004,24.31000,110.37000,74.50000
2.88498,24.31000,110.37000,74.50000
2.91053,24.31000,110.31000,74.50000
2.93851,24.31000,110.31000,74.50000
2.96351,24.31000,110.31000,74.62000
2.98854,24.31000,110.31000,74.62000
3.01658,24.31000,110.31000,74.62000
3.04088,24.31000,110.31000,74.62000
3.06618,24.31000,110.31000,74.62000
3.09537,24.31000,110.31000,74.62000
3.11981,24.31000,110.31000,74.62000
3.14501,24.31000,110.31000,74.62000
3.17243,24.31000,110.31000,74.62000
3.19794,24.31000,110.19000,74.62000
3.22287,24.31000,110.19000,74.62000
3.25098,24.31000,110.19000,74.62000
3.27598,24.31000,110.19000,74.69000
3.30077,24.31000,110.19000,74.69000
3.32859,24.31000,110.19000,74.69000
3.35352,24.31000,110.19000,74.69000
3.37873,24.31000,110.19000,74.69000
3.40682,24.31000,110.19000,74.69000
3.43225,24.31000,110.19000,74.69000
3.45693,24.31000,110.12000,74.69000
3.48494,24.31000,110.12000,74.69000
3.51022,24.31000,110.12000,74.69000
3.53532,24.31000,110.12000,74.69000
3.56361,24.31000,110.12000,74.81000
3.58884,24.31000,110.12000,74.81000
3.61362,24.31000,110.12000,74.81000
3.64203,24.31000,110.12000,74.81000
3.66685,24.31000,110.12000,74.81000
3.69207,24.31000,110.12000,74.81000
3.71997,24.31000,110.12000,74.81000
3.74480,24.31000,110.06000,74.81000
3.76979,24.31000,110.06000,74.81000
3.79836,24.31000,110.06000,74.81000
3.82253,24.31000,110.06000,74.81000
3.84766,24.31000,110.06000,74.81000
3.87630,24.31000,110.06000,74.81000
3.90107,24.31000,110.06000,74.81000
3.92575,24.31000,110.06000,74.81000
3.95512,24.31000,110.06000,74.81000
3.97921,24.31000,110.06000,74.81000
4.00515,24.31000,110.06000,74.81000
4.03227,24.31000,110.06000,74.81000
4.05723,24.31000,110.06000,74.81000
4.08331,24.31000,110.06000,74.81000
4.11096,24.31000,110.06000,74.81000
4.13624,24.31000,110.06000,74.81000
4.16048,24.31000,110.06000,74.81000
4.18848,24.31000,110.06000,74.81000
4.21349,24.31000,110.06000,74.81000
4.23847,24.31000,110.06000,74.81000
4.26646,24.31000,110.06000,74.81000
4.29099,24.31000,110.06000,74.81000
4.31666,24.31000,110.06000,74.81000
4.34546,24.31000,110.06000,74.81000
4.37046,24.31000,110.06000,74.81000
4.39536,24.31000,110.06000,74.81000
4.42306,24.31000,110.06000,74.81000
4.44844,24.31000,110.06000,74.75000
4.47288,24.31000,110.06000,74.75000
4.50165,24.31000,110.06000,74.75000
4.52628,24.31000,110.06000,74.75000
4.55393,24.31000,110.06000,74.75000
4.57900,24.31000,110.06000,74.75000
4.60334,24.31000,110.06000,74.75000
4.63135,24.31000,110.06000,74.75000
4.65734,24.31000,110.06000,74.75000
4.68134,24.31000,110.06000,74.75000
4.70989,24.31000,110.06000,74.75000
4.73485,24.31000,110.06000,74.69000
4.75996,24.31000,110.06000,74.69000
4.78839,24.31000,110.06000,74.69000
4.81377,24.31000,110.06000,74.69000
4.83823,24.31000,110.06000,74.69000
4.86643,24.31000,110.06000,74.69000
4.89109,24.31000,110.06000,74.69000
4.91652,24.31000,110.06000,74.69000
4.94450,24.31000,110.06000,74.69000
4.96967,24.31000,110.06000,74.69000
4.99436,24.31000,110.06000,74.69000
5.02252,24.31000,110.06000,74.69000
5.04781,24.31000,110.06000,74.62000
5.07304,24.31000,110.06000,74.62000
5.10075,24.31000,110.06000,74.62000
5.12578,24.31000,110.06000,74.62000
5.15101,24.31000,110.06000,74.62000
5.17907,24.31000,110.06000,74.62000
5.20412,24.31000,110.06000,74.62000
5.22902,24.31000,110.06000,74.62000
5.25665,24.31000,110.06000,74.62000
5.28232,24.31000,110.06000,74.62000
5.30733,24.31000,110.06000,74.62000
5.33529,24.31000,110.06000,74.50000
5.36062,24.31000,110.06000,74.50000
5.38588,24.31000,110.06000,74.50000
5.41405,24.31000,110.06000,74.50000
5.43836,24.31000,110.06000,74.50000
5.46405,24.31000,110.06000,74.50000
5.49170,24.31000,110.06000,74.50000
5.51677,24.31000,110.06000,74.50000
5.54175,24.31000,110.06000,74.50000
5.56986,24.31000,110.06000,74.50000
5.59511,24.31000,110.06000,74.50000
5.61968,24.31000,110.06000,74.25000
5.64769,24.31000,110.06000,74.25000
5.67292,24.31000,110.06000,74.25000
5.69799,24.31000,110.06000,74.25000
5.72550,24.31000,110.06000,74.25000
5.75056,24.31000,110.06000,74.25000
5.77650,24.31000,110.06000,74.25000
5.80402,24.31000,110.06000,74.25000
5.82903,24.31000,110.06000,74.25000
5.85403,24.31000,110.06000,74.25000
5.88177,24.31000,110.06000,74.25000
5.90729,24.31000,110.06000,74.25000
5.93229,24.31000,110.06000,74.19000
5.96000,24.31000,110.06000,74.19000
5.98596,24.31000,110.06000,74.19000
6.01025,24.31000,110.06000,74.19000
6.03825,24.31000,110.06000,74.19000
6.06325,24.31000,110.06000,74.19000
6.08826,24.31000,110.06000,74.19000
6.11736,24.31000,110.06000,74.19000
6.14163,24.31000,110.06000,74.19000
6.16732,24.31000,110.06000,74.19000
6.19446,24.31000,110.06000,74.19000
6.22030,24.31000,110.06000,74.19000
6.24517,24.31000,110.06000,74.19000
6.27303,24.31000,110.06000,74.19000
6.29829,24.31000,110.06000,74.19000
6.32289,24.31000,110.06000,74.19000
6.35077,24.31000,110.06000,74.19000
6.37652,24.31000,110.06000,74.19000
6.40138,24.31000,110.06000,74.19000
6.42966,24.31000,110.06000,74.19000
6.45479,24.31000,110.06000,74.19000
6.47963,24.31000,110.06000,74.19000
6.50703,24.31000,110.06000,74.19000
6.53212,24.31000,110.06000,74.19000
6.55805,24.31000,110.06000,74.19000
6.58632,24.31000,110.06000,74.19000
6.61055,24.31000,110.06000,74.19000
6.63632,24.31000,110.06000,74.19000
6.66447,24.31000,110.06000,74.19000
6.68845,24.31000,110.06000,74.19000
6.71450,24.31000,110.06000,74.19000
6.74143,24.31000,110.06000,74.19000
6.76661,24.31000,110.06000,74.19000
6.79225,24.31000,110.06000,74.12000
6.82009,24.31000,110.06000,74.12000
6.84580,24.31000,110.06000,74.12000
6.87058,24.31000,110.06000,74.12000
6.89847,24.31000,110.06000,74.12000
6.92313,24.31000,110.06000,74.12000
6.94858,24.31000,110.06000,74.12000
6.97649,24.31000,110.06000,74.12000
7.00103,24.31000,110.06000,74.12000
7.02603,24.31000,110.06000,74.12000
7.05503,24.31000,110.06000,74.12000
7.07903,24.31000,110.06000,74.12000
7.10454,24.31000,110.06000,74.00000
7.13254,24.31000,110.06000,74.00000
7.15788,24.31000,110.19000,74.00000
7.18279,24.31000,110.19000,74.00000
7.21087,24.31000,110.19000,74.00000
7.23617,24.31000,110.19000,74.00000
7.26114,24.31000,110.19000,74.00000
7.28860,24.31000,110.19000,74.00000
7.31472,24.31000,110.19000,74.00000
7.33889,24.31000,110.19000,74.00000
7.36684,24.31000,110.19000,74.00000
7.39169,24.31000,110.19000,74.00000
7.41722,24.31000,110.19000,74.00000
7.44522,24.31000,110.31000,74.00000
7.46988,24.31000,110.31000,74.00000
7.49496,24.31000,110.31000,74.00000
7.52340,24.31000,110.31000,74.00000
7.54840,24.31000,110.31000,74.00000
7.57340,24.31000,110.31000,74.00000
7.60166,24.31000,110.31000,74.00000
7.62617,24.31000,110.31000,74.00000
7.65183,24.31000,110.31000,74.00000
7.67982,24.31000,110.31000,73.81000
7.70445,24.31000,110.31000,73.81000
7.72998,24.31000,110.31000,73.81000
7.75735,24.31000,110.31000,73.81000
7.78235,24.31000,110.31000,73.81000
7.80789,24.31000,110.31000,73.81000
7.83645,24.31000,110.31000,73.81000
7.86156,24.31000,110.31000,73.81000
7.88682,24.31000,110.31000,73.81000
7.91494,24.31000,110.31000,73.81000
7.93925,24.31000,110.31000,73.81000
7.96454,24.31000,110.31000,73.56000
7.99262,24.31000,110.31000,73.56000
8.01742,24.31000,110.44000,73.56000
8.04288,24.31000,110.44000,73.56000
8.07100,24.31000,110.44000,73.56000
8.09627,24.31000,110.44000,73.56000
8.12107,24.31000,110.44000,73.56000
8.14898,24.31000,110.44000,73.56000
8.17409,24.31000,110.44000,73.56000
