Time,Ttest,TH,TM
0.00000,24.37000,109.37000,71.12000
0.00000,24.37000,109.37000,71.12000
0.00100,24.37000,109.37000,71.12000
0.00200,24.37000,109.37000,71.12000
0.00200,24.37000,109.37000,71.12000
0.00300,24.37000,109.37000,71.12000
0.00300,24.37000,109.37000,71.12000
0.00400,24.37000,109.37000,71.12000
0.00400,24.37000,109.37000,71.12000
0.00500,24.37000,109.37000,71.12000
0.00602,24.37000,109.37000,71.12000
0.00602,24.37000,109.37000,71.12000
0.00706,24.37000,109.37000,71.12000
0.00706,24.37000,109.37000,71.12000
0.00800,24.37000,109.37000,71.12000
0.00800,24.37000,109.50000,71.12000
0.00905,24.37000,109.50000,71.12000
0.00905,24.37000,109.50000,71.12000
0.01000,24.37000,109.50000,71.12000
0.01000,24.37000,109.50000,71.12000
0.01100,24.37000,109.50000,71.12000
0.01100,24.37000,109.50000,71.12000
0.01200,24.37000,109.50000,71.12000
0.01200,24.37000,109.50000,71.12000
0.01300,24.37000,109.50000,71.12000
0.01300,24.37000,109.50000,71.12000
0.01300,24.37000,109.56000,71.12000
0.01450,24.37000,109.56000,71.12000
0.01651,24.37000,109.56000,71.12000
0.01651,24.37000,109.56000,71.12000
0.01751,24.37000,109.56000,71.12000
0.01851,24.37000,109.56000,71.12000
0.01851,24.37000,109.56000,71.12000
0.01951,24.37000,109.56000,71.12000
0.01951,24.37000,109.56000,71.12000
0.02051,24.37000,109.56000,71.12000
0.02051,24.37000,109.56000,71.12000
0.04924,24.31000,103.69000,72.37000
0.07427,24.31000,103.69000,72.37000
0.10190,24.31000,103.69000,72.37000
0.12742,24.31000,103.69000,72.37000
0.15242,24.31000,103.69000,72.37000
0.18023,24.31000,103.69000,72.37000
0.20524,24.31000,103.69000,72.37000
0.22974,24.31000,103.69000,72.37000
0.25774,24.31000,103.69000,72.37000
0.28274,24.31000,103.69000,72.37000
0.30775,24.31000,103.69000,72.37000
0.33625,24.31000,103.69000,72.37000
0.36160,24.56000,102.37000,72.37000
0.38659,24.56000,102.37000,73.06000
0.41350,24.56000,102.37000,73.06000
0.43901,24.56000,102.37000,73.06000
0.46401,24.56000,102.37000,73.06000
0.49300,24.56000,102.37000,73.06000
0.51804,24.56000,102.37000,73.06000
0.54309,24.56000,102.37000,73.06000
0.57114,24.56000,102.37000,73.06000
0.59614,24.56000,102.37000,73.06000
0.62122,24.56000,102.37000,73.06000
0.64914,24.56000,102.37000,73.06000
0.67419,24.56000,102.37000,73.12000
0.69929,24.56000,102.37000,73.12000
0.72671,24.56000,102.37000,73.12000
0.75170,24.56000,102.37000,73.12000
0.77771,24.56000,102.37000,73.12000
0.80503,24.56000,102.37000,73.12000
0.83053,24.56000,102.37000,73.12000
