Time,Ttest,TH,TM
0.00000,24.75000,23.44000,23.00000
0.00069,24.75000,23.44000,23.00000
0.00069,24.75000,23.44000,23.00000
0.00069,24.75000,23.44000,23.00000
0.00069,24.75000,23.44000,23.00000
0.00175,24.75000,23.44000,23.00000
0.00175,24.75000,23.44000,23.00000
0.00175,24.75000,23.44000,23.00000
0.00175,24.75000,23.44000,23.00000
0.00175,24.75000,23.44000,23.00000
0.00274,24.75000,23.44000,23.00000
0.00274,24.75000,23.44000,23.00000
0.00274,24.75000,23.44000,23.00000
0.00274,24.75000,23.44000,23.00000
0.00375,24.75000,23.44000,23.00000
0.00375,24.75000,23.44000,23.00000
0.00375,24.75000,23.44000,23.00000
0.00375,24.75000,23.44000,23.00000
0.00475,24.75000,23.44000,23.00000
0.00475,24.75000,23.44000,23.00000
0.00475,24.75000,23.44000,23.00000
0.00475,24.75000,23.44000,23.00000
0.00475,24.75000,23.44000,23.00000
0.00575,24.75000,23.44000,23.00000
0.00575,24.75000,23.44000,23.00000
0.00575,24.75000,23.44000,23.00000
0.00575,24.75000,23.44000,23.00000
0.00675,24.75000,23.44000,23.00000
0.00675,24.75000,23.44000,23.00000
0.00675,24.75000,23.44000,23.00000
0.00775,24.75000,23.44000,23.00000
0.00775,24.75000,23.44000,23.00000
0.00775,24.75000,23.44000,23.00000
0.00875,24.75000,23.44000,23.00000
0.00875,24.75000,23.44000,23.00000
0.00875,24.75000,23.44000,23.00000
1.13660,24.75000,23.44000,23.06000
1.16160,24.75000,23.44000,23.06000
1.18658,24.75000,23.44000,23.06000
1.21177,24.75000,23.44000,23.06000
1.23589,24.75000,23.44000,23.06000
1.26164,24.75000,23.44000,23.06000
1.28722,24.75000,23.44000,23.06000
1.31197,24.75000,23.44000,23.06000
1.33684,24.75000,23.44000,23.06000
1.36144,24.75000,23.44000,23.06000
1.38644,24.75000,23.44000,23.06000
1.41146,24.75000,23.44000,23.06000
1.43599,24.75000,23.44000,23.06000
1.46107,24.69000,23.62000,23.37000
1.48607,24.69000,23.62000,23.37000
1.51141,24.69000,23.62000,23.37000
1.53591,24.69000,23.62000,23.37000
1.56103,24.69000,23.62000,23.37000
1.58611,24.69000,23.62000,23.37000
1.61112,24.69000,23.62000,23.37000
1.63614,24.69000,23.62000,23.37000
1.66196,24.69000,23.62000,23.37000
1.68680,24.69000,23.62000,23.37000
1.71198,24.69000,23.62000,23.37000
1.73615,24.69000,23.62000,23.37000
1.76184,24.69000,23.62000,23.37000
1.78684,24.69000,23.62000,23.37000
1.81199,24.69000,23.62000,23.37000
1.83653,24.69000,23.62000,23.37000
1.86164,24.69000,23.62000,23.37000
1.88654,24.69000,23.62000,23.37000
1.91210,24.69000,23.62000,23.37000
1.93628,24.69000,23.62000,23.37000
1.96177,24.69000,23.62000,23.37000
1.98741,24.69000,23.62000,23.37000
2.01205,24.69000,23.62000,23.37000
2.03698,24.69000,23.62000,23.37000
