Time,Ttest,TH,TM
0.00000,24.25000,21.81000,21.25000
0.02513,24.25000,21.81000,21.25000
0.05025,24.25000,21.81000,21.25000
0.07539,24.25000,21.81000,21.25000
0.10039,24.25000,21.81000,21.25000
0.12506,24.25000,21.81000,21.25000
0.15006,24.25000,21.81000,21.25000
0.17506,24.25000,21.81000,21.25000
0.20005,24.25000,21.81000,21.25000
0.22491,24.25000,21.81000,21.25000
0.24966,24.25000,21.81000,21.25000
0.27514,24.25000,21.81000,21.25000
0.29994,24.25000,21.81000,21.25000
0.32546,24.25000,21.56000,21.50000
0.35002,24.25000,21.56000,21.50000
0.37546,24.25000,21.56000,21.50000
0.39992,24.25000,21.56000,21.50000
0.42550,24.25000,21.56000,21.50000
0.45053,24.25000,21.56000,21.50000
0.47519,24.25000,21.56000,21.50000
0.49980,24.25000,21.56000,21.50000
0.52526,24.25000,21.56000,21.50000
0.55010,24.25000,21.56000,21.50000
0.57528,24.25000,21.56000,21.50000
0.60046,24.25000,21.62000,21.50000
0.62574,24.25000,21.62000,21.50000
0.65083,24.25000,21.62000,21.50000
0.67478,24.25000,21.62000,21.50000
0.69993,24.25000,21.62000,21.50000
0.72552,24.25000,21.62000,21.50000
0.75007,24.25000,21.62000,21.50000
0.77548,24.25000,21.62000,21.50000
0.80044,24.25000,21.62000,21.50000
0.82566,24.25000,21.62000,21.50000
0.84994,24.25000,21.62000,21.50000
0.87493,24.25000,21.69000,21.50000
0.90053,24.25000,21.69000,21.50000
0.92567,24.25000,21.69000,21.50000
0.95094,24.25000,21.69000,21.50000
0.97569,24.25000,21.69000,21.50000
1.00091,24.25000,21.69000,21.50000
1.02548,24.25000,21.69000,21.50000
1.05055,24.25000,21.69000,21.50000
1.07539,24.25000,21.69000,21.50000
1.10064,24.25000,21.69000,21.50000
1.12521,24.25000,21.69000,21.50000
1.15073,24.25000,21.69000,21.50000
1.17577,24.25000,21.81000,21.50000
1.20054,24.25000,21.81000,21.50000
1.22507,24.25000,21.81000,21.50000
1.25006,24.25000,21.81000,21.50000
1.27507,24.25000,21.81000,21.50000
1.30006,24.25000,21.81000,21.50000
1.32523,24.25000,21.81000,21.50000
1.35069,24.25000,21.81000,21.50000
1.37491,24.25000,21.81000,21.50000
1.40021,24.25000,21.81000,21.50000
1.42578,24.25000,21.81000,21.50000
1.45100,24.25000,21.94000,21.50000
1.47585,24.25000,21.94000,21.50000
1.50105,24.25000,21.94000,21.50000
1.52584,24.25000,21.94000,21.50000
1.55044,24.25000,21.94000,21.50000
1.57531,24.25000,21.94000,21.50000
1.60096,24.25000,21.94000,21.50000
1.62594,24.25000,21.94000,21.50000
1.65085,24.25000,21.94000,21.50000
1.67574,24.25000,21.94000,21.50000
1.70083,24.25000,21.94000,21.50000
1.72534,24.25000,22.06000,21.50000
1.75031,24.25000,22.06000,21.50000
1.77608,24.25000,22.06000,21.50000
1.80105,24.25000,22.06000,21.50000
1.82586,24.25000,22.06000,21.50000
1.85085,24.25000,22.06000,21.50000
1.87606,24.25000,22.06000,21.50000
1.90106,24.25000,22.06000,21.50000
1.92558,24.25000,22.06000,21.50000
1.95056,24.25000,22.06000,21.50000
1.97578,24.25000,22.06000,21.50000
2.00051,24.25000,22.06000,21.50000
2.02611,24.25000,22.19000,21.50000
2.05079,24.25000,22.19000,21.50000
2.07559,24.25000,22.19000,21.50000
2.10104,24.25000,22.19000,21.50000
2.12555,24.25000,22.19000,21.50000
2.15079,24.25000,22.19000,21.50000
2.17599,24.25000,22.19000,21.50000
2.20048,24.25000,22.19000,21.50000
2.22559,24.25000,22.19000,21.50000
2.25098,24.25000,22.19000,21.50000
