Time,Ttest,TH,TM
0.00000,24.25000,33.19000,31.87000
0.00000,24.25000,33.19000,3.00000
0.00151,24.25000,32.94000,31.50000
0.00254,24.25000,32.94000,31.50000
0.00353,24.25000,32.69000,31.44000
0.00453,24.25000,32.69000,31.44000
0.00559,24.25000,32.56000,31.25000
0.00652,24.25000,32.56000,31.25000
0.00752,24.25000,32.31000,30.87000
0.00852,24.25000,32.31000,30.87000
0.00852,24.25000,32.00000,30.69000
0.00956,24.25000,32.00000,30.69000
0.01058,24.25000,32.00000,30.00000
0.01058,24.25000,31.87000,30.44000
0.01161,24.25000,31.87000,30.44000
0.01363,24.25000,31.62000,30.37000
0.01445,24.25000,31.62000,30.37000
0.01656,24.31000,31.37000,30.19000
0.01756,24.31000,31.37000,30.19000
0.01856,24.31000,31.25000,30.00000
0.01956,24.31000,31.25000,30.00000
0.01956,24.31000,31.25000,30.00000
0.02056,24.31000,31.25000,30.00000
0.02156,24.31000,31.25000,30.00000
0.02256,24.31000,31.06000,29.94000
0.02356,24.31000,31.06000,29.94000
0.02456,24.31000,30.87000,29.62000
0.02556,24.31000,30.87000,29.62000
0.02556,2.00000,30.62000,29.56000
0.02656,24.31000,30.62000,29.56000
0.02756,24.31000,30.62000,29.56000
0.02756,24.31000,30.56000,29.50000
0.02856,24.31000,30.56000,29.50000
0.04456,24.31000,28.06000,27.12000
0.06976,24.31000,28.06000,27.12000
0.09435,24.31000,28.06000,27.12000
0.12018,24.31000,28.06000,27.12000
0.14544,24.31000,28.06000,27.12000
0.16996,24.31000,28.06000,27.12000
0.19507,24.31000,28.06000,27.12000
0.21970,24.31000,28.06000,27.12000
0.24469,24.31000,28.06000,27.12000
0.26981,24.31000,28.06000,27.12000
0.29447,24.31000,28.06000,27.12000
0.31986,24.31000,28.06000,27.12000
0.34475,24.31000,28.06000,27.12000
0.36974,24.31000,28.06000,27.00000
0.39516,24.31000,28.06000,27.00000
0.41958,24.31000,28.06000,27.00000
0.44478,24.31000,28.06000,27.00000
0.46955,24.31000,28.06000,27.00000
0.49540,24.31000,28.06000,27.00000
0.52031,24.31000,28.06000,27.00000
0.54509,24.31000,28.06000,27.00000
0.56961,24.31000,28.06000,27.00000
0.59534,24.31000,28.06000,27.00000
0.62042,24.31000,28.06000,27.00000
0.64536,24.31000,28.06000,27.00000
0.66970,24.31000,28.06000,27.00000
0.69471,24.31000,28.06000,27.00000
0.72009,24.31000,28.06000,27.00000
0.74506,24.31000,28.06000,27.00000
0.76982,24.31000,28.06000,27.00000
0.79485,24.31000,28.06000,27.00000
0.81998,24.31000,28.06000,27.00000
0.84455,24.31000,28.06000,27.00000
0.87041,24.31000,28.06000,27.00000
0.89504,24.31000,28.06000,27.00000
0.92047,24.31000,28.06000,27.00000
0.94532,24.31000,28.06000,27.00000
0.97065,24.31000,28.06000,27.00000
0.99523,24.31000,28.06000,27.00000
1.02047,24.31000,28.06000,27.00000
1.04497,24.31000,28.06000,27.00000
1.07001,24.31000,28.06000,27.00000
1.09527,24.31000,28.06000,27.00000
1.11985,24.31000,28.06000,27.00000
1.14543,24.31000,28.06000,27.00000
1.17045,24.31000,28.06000,27.00000
1.19542,24.31000,28.06000,27.00000
1.22031,24.31000,28.06000,27.00000
1.24558,24.31000,28.06000,27.00000
1.27029,24.31000,28.06000,27.00000
1.29546,24.31000,28.06000,27.00000
1.32008,24.31000,28.06000,27.00000
1.34506,24.31000,28.06000,27.00000
1.37006,24.31000,28.06000,27.00000
1.39524,24.31000,28.06000,27.00000
1.41981,24.31000,28.06000,27.00000
1.44532,24.31000,28.06000,27.00000
1.47043,24.31000,28.06000,27.00000
1.49524,24.31000,28.19000,27.00000
1.52112,24.31000,28.19000,27.00000
1.54599,24.31000,28.19000,27.00000
1.57016,24.31000,28.19000,27.00000
1.59533,24.31000,28.19000,27.00000
1.62063,24.31000,28.19000,27.00000
1.64563,24.31000,28.19000,27.00000
1.67003,24.31000,28.19000,27.00000
1.69575,24.31000,28.19000,27.00000
1.72073,24.31000,28.19000,27.00000
1.74573,24.31000,28.19000,27.00000
1.77073,24.31000,28.19000,27.00000
1.79583,24.31000,28.25000,27.00000
1.82127,24.31000,28.25000,27.00000
1.84573,24.31000,28.25000,27.00000
1.87041,24.31000,28.25000,27.00000
1.89541,24.31000,28.25000,27.00000
1.92088,24.31000,28.25000,27.00000
1.94588,24.31000,28.25000,27.00000
1.97131,24.31000,28.25000,27.00000
1.99585,24.31000,28.25000,27.00000
2.02067,24.31000,28.25000,27.00000
2.04567,24.31000,28.25000,27.00000
2.07094,24.31000,28.50000,27.00000
2.09581,24.31000,28.50000,27.00000
2.12084,24.31000,28.50000,27.00000
2.14598,24.31000,28.50000,27.00000
2.17012,24.31000,28.50000,27.00000
2.19545,24.31000,28.50000,27.00000
2.22113,24.31000,28.50000,27.00000
2.24514,24.31000,28.50000,27.00000
2.27122,24.31000,28.50000,27.00000
2.29536,24.31000,28.50000,27.00000
2.32079,24.31000,28.50000,27.00000
2.34598,24.31000,28.69000,27.00000
2.37103,24.31000,28.69000,27.00000
2.39586,24.31000,28.69000,27.00000
2.42146,24.31000,28.69000,27.00000
2.44568,24.31000,28.69000,27.00000
2.47074,24.31000,28.69000,27.00000
2.49575,24.31000,28.69000,27.00000
2.52077,24.31000,28.69000,27.00000
2.54595,24.31000,28.69000,27.00000
2.57108,24.31000,28.69000,27.00000
2.59616,24.31000,28.69000,27.00000
2.62075,24.31000,28.69000,27.00000
2.64538,24.31000,28.87000,27.00000
2.67107,24.31000,28.87000,27.00000
2.69571,24.31000,28.87000,27.00000
2.72074,24.31000,28.87000,27.00000
2.74569,24.31000,28.87000,27.00000
2.77075,24.31000,28.87000,27.00000
2.79567,24.31000,28.87000,27.00000
2.82131,24.31000,28.87000,27.00000
2.84541,24.31000,28.87000,27.00000
2.87084,24.31000,28.87000,27.00000
2.89608,24.31000,28.87000,27.00000
2.92091,24.31000,29.12000,27.00000
2.94756,24.31000,29.12000,27.00000
2.97116,24.31000,29.12000,27.00000
2.99578,24.31000,29.12000,27.00000
3.02123,24.31000,29.12000,27.00000
3.04563,24.31000,29.12000,27.00000
3.07062,24.31000,29.12000,27.00000
3.09573,24.31000,29.12000,27.00000
3.12150,24.31000,29.12000,27.00000
3.14570,24.31000,29.12000,27.00000
3.17120,24.31000,29.12000,27.00000
3.19631,24.31000,29.44000,27.00000
3.22084,24.31000,29.44000,27.00000
3.24659,24.31000,29.44000,27.00000
3.27137,24.31000,29.44000,27.00000
3.29628,24.31000,29.44000,27.00000
3.32162,24.31000,29.44000,27.00000
3.34639,24.31000,29.44000,27.00000
3.37108,24.31000,29.44000,27.00000
3.39645,24.31000,29.44000,27.00000
3.42144,24.31000,29.44000,27.00000
3.44627,24.31000,29.44000,27.00000
3.47156,24.31000,29.44000,27.00000
3.49648,24.31000,29.75000,27.00000
3.52173,24.31000,29.75000,27.00000
3.54585,24.31000,29.75000,27.00000
3.57096,24.31000,29.75000,27.00000
3.59599,24.31000,29.75000,27.00000
3.62095,24.31000,29.75000,27.00000
3.64658,24.31000,29.75000,27.00000
3.67135,24.31000,29.75000,27.00000
3.69598,24.31000,29.75000,27.00000
3.72184,24.31000,29.75000,27.00000
3.74563,24.31000,29.75000,27.00000
3.77114,24.31000,30.12000,27.00000
3.79639,24.31000,30.12000,27.00000
3.82165,24.31000,30.12000,27.00000
3.84653,24.31000,30.12000,27.00000
3.87090,24.31000,30.12000,27.00000
3.89590,24.31000,30.12000,27.00000
3.92083,24.31000,30.12000,27.00000
3.94574,24.31000,30.12000,27.00000
3.97164,24.31000,30.12000,27.00000
3.99575,24.31000,30.12000,27.00000
4.02077,24.31000,30.12000,27.00000
4.04677,24.31000,30.50000,27.00000
4.07096,24.31000,30.50000,27.00000
4.09594,24.31000,30.50000,27.00000
4.12093,24.31000,30.50000,27.00000
4.14605,24.31000,30.50000,27.00000
4.17161,24.31000,30.50000,27.00000
4.19585,24.31000,30.50000,27.00000
4.22074,24.31000,30.50000,27.00000
4.24576,24.31000,30.50000,27.00000
4.27175,24.31000,30.50000,27.00000
4.29684,24.31000,30.50000,27.00000
4.32174,24.31000,30.50000,27.00000
4.34574,24.31000,30.81000,27.00000
4.37172,24.31000,30.81000,27.00000
4.39701,24.31000,30.81000,27.00000
4.42183,24.31000,30.81000,27.00000
4.44685,24.31000,30.81000,27.00000
4.47182,24.31000,30.81000,27.00000
4.49707,24.31000,30.81000,27.00000
4.52221,24.31000,30.81000,27.00000
4.54667,24.31000,30.81000,27.00000
4.57166,24.31000,30.81000,27.00000
4.59632,24.31000,30.81000,27.00000
4.62181,24.31000,31.12000,27.00000
4.64622,24.31000,31.12000,27.00000
4.67181,24.31000,31.12000,27.00000
4.69646,24.31000,31.12000,27.00000
4.72145,24.31000,31.12000,27.00000
4.74690,24.31000,31.12000,27.00000
4.77165,24.31000,31.12000,27.00000
4.79688,24.31000,31.12000,27.00000
4.82147,24.31000,31.12000,27.00000
4.84688,24.31000,31.12000,27.00000
4.87196,24.31000,31.12000,27.00000
4.89641,24.31000,31.37000,27.00000
4.92190,24.31000,31.37000,27.00000
4.94654,24.31000,31.37000,27.00000
4.97186,24.31000,31.37000,27.00000
4.99666,24.31000,31.37000,27.00000
5.02147,24.31000,31.37000,27.00000
5.04700,24.31000,31.37000,27.00000
5.07184,24.31000,31.37000,27.00000
5.09701,24.31000,31.37000,27.00000
5.12175,24.31000,31.37000,27.00000
5.14727,24.31000,31.37000,27.00000
5.17268,24.31000,31.37000,27.00000
5.19686,24.31000,31.75000,27.00000
5.22226,24.31000,31.75000,27.00000
5.24708,24.31000,31.75000,27.00000
5.27147,24.31000,31.75000,27.00000
5.29682,24.31000,31.75000,27.00000
5.32178,24.31000,31.75000,27.00000
5.34682,24.31000,31.75000,27.00000
5.37171,24.31000,31.75000,27.00000
5.39673,24.31000,31.75000,27.00000
5.42172,24.31000,31.75000,27.00000
5.44681,24.31000,31.75000,27.00000
5.47221,24.31000,32.13000,27.00000
5.49646,24.31000,32.13000,27.00000
5.52213,24.31000,32.13000,27.00000
5.54713,24.31000,32.13000,27.00000
5.57171,24.31000,32.13000,27.00000
5.59709,24.31000,32.13000,27.00000
5.62172,24.31000,32.13000,27.00000
5.64707,24.31000,32.13000,27.00000
5.67205,24.31000,32.13000,27.00000
5.69675,24.31000,32.13000,27.00000
5.72136,24.31000,32.13000,27.00000
5.74631,24.31000,32.50000,27.00000
5.77131,24.31000,32.50000,27.00000
5.79671,24.31000,32.50000,27.00000
5.82223,24.31000,32.50000,27.00000
5.84703,24.31000,32.50000,27.00000
5.87174,24.31000,32.50000,27.00000
5.89703,24.31000,32.50000,27.00000
5.92179,24.31000,32.50000,27.00000
5.94674,24.31000,32.50000,27.00000
5.97230,24.31000,32.50000,27.00000
5.99674,24.31000,32.50000,27.00000
6.02263,24.31000,32.50000,27.00000
6.04681,24.31000,32.88000,27.00000
6.07248,24.31000,32.88000,27.00000
6.09731,24.31000,32.88000,27.00000
6.12182,24.31000,32.88000,27.00000
6.14752,24.31000,32.88000,27.00000
6.17197,24.31000,32.88000,27.00000
6.19692,24.31000,32.88000,27.00000
6.22253,24.31000,32.88000,27.00000
6.24702,24.31000,32.88000,27.00000
6.27258,24.31000,32.88000,27.00000
6.29710,24.31000,32.88000,27.00000
6.32173,24.31000,33.19000,27.00000
6.34679,24.31000,33.19000,27.00000
6.37245,24.31000,33.19000,27.00000
6.39673,24.31000,33.19000,27.00000
