Time,Ttest,TH,TM
0.00000,24.87000,103.06000,80.37000
0.00000,24.87000,103.06000,80.37000
0.00101,24.87000,103.06000,80.37000
0.00101,24.87000,103.06000,80.37000
0.00101,24.87000,103.06000,80.37000
0.00201,24.87000,103.06000,80.37000
0.00201,24.87000,103.06000,80.37000
0.00201,24.87000,103.06000,80.37000
0.00201,24.87000,103.37000,80.37000
0.00301,24.87000,103.37000,80.56000
0.00301,24.87000,103.37000,80.56000
0.00400,24.87000,103.37000,80.56000
0.00400,24.87000,103.37000,80.56000
0.00400,24.87000,103.37000,80.56000
0.00400,24.87000,103.37000,80.56000
0.00500,24.87000,103.37000,80.56000
0.00500,24.87000,103.37000,80.56000
0.00500,24.87000,103.37000,80.56000
0.00600,24.87000,103.37000,80.56000
0.00600,24.87000,103.62000,80.56000
0.00600,24.87000,103.62000,80.75000
0.00600,24.87000,103.62000,80.75000
0.00700,24.87000,103.62000,80.75000
0.00700,24.87000,103.62000,80.75000
0.00700,24.87000,103.62000,80.75000
0.00800,24.87000,103.62000,80.75000
0.00800,24.87000,103.62000,80.75000
1.14304,24.87000,25.50000,23.69000
1.16770,24.87000,25.50000,23.69000
1.19291,24.87000,25.50000,23.69000
1.21791,24.87000,25.50000,23.69000
1.24291,24.87000,25.50000,23.69000
1.26792,24.87000,25.50000,23.69000
1.29351,24.87000,25.50000,23.69000
1.31793,24.87000,25.50000,23.69000
1.34357,24.87000,25.50000,23.69000
1.36838,24.87000,25.50000,23.69000
1.39336,24.87000,25.50000,23.69000
1.41864,24.87000,25.50000,23.69000
1.44340,24.87000,25.31000,23.69000
1.46794,24.81000,25.31000,23.87000
1.49365,24.81000,25.31000,23.87000
1.51874,24.81000,25.31000,23.87000
1.54326,24.81000,25.31000,23.87000
1.56842,24.81000,25.31000,23.87000
1.59315,24.81000,25.31000,23.87000
1.61865,24.81000,25.31000,23.87000
1.64330,24.81000,25.31000,23.87000
1.66877,24.81000,25.31000,23.87000
1.69367,24.81000,25.31000,23.87000
1.71825,24.81000,25.31000,23.87000
1.74378,24.81000,25.31000,23.87000
1.76905,24.81000,25.31000,23.87000
1.79325,24.81000,25.31000,23.87000
1.81880,24.81000,25.31000,23.87000
1.84391,24.81000,25.31000,23.87000
1.86879,24.81000,25.31000,23.87000
1.89390,24.81000,25.31000,23.87000
1.91887,24.81000,25.31000,23.87000
1.94382,24.81000,25.31000,23.87000
1.96895,24.81000,25.31000,23.87000
1.99369,24.81000,25.31000,23.87000
2.01895,24.81000,25.37000,23.87000
2.04383,24.81000,25.37000,23.87000
2.06890,24.81000,25.37000,23.87000
2.09387,24.81000,25.37000,23.87000
2.11888,24.81000,25.37000,23.87000
2.14393,24.81000,25.37000,23.87000
2.16893,24.81000,25.37000,23.87000
2.19397,24.81000,25.37000,23.87000
2.21900,24.81000,25.37000,23.87000
2.24405,24.81000,25.37000,23.87000
2.26901,24.81000,25.37000,23.87000
2.29389,24.81000,25.44000,23.87000
2.31890,24.81000,25.44000,23.87000
2.34351,24.81000,25.44000,23.87000
2.36852,24.81000,25.44000,23.87000
2.39394,24.81000,25.44000,23.87000
2.41843,24.81000,25.44000,23.87000
2.44343,24.81000,25.44000,23.87000
2.46845,24.81000,25.44000,23.87000
2.49386,24.81000,25.44000,23.87000
2.51916,24.81000,25.44000,23.87000
2.54406,24.81000,25.44000,23.87000
2.56841,24.81000,25.44000,23.87000
2.59405,24.81000,25.62000,23.87000
2.61844,24.81000,25.62000,23.87000
2.64410,24.81000,25.62000,23.87000
2.66915,24.81000,25.62000,23.87000
2.69410,24.81000,25.62000,23.87000
2.71904,24.81000,25.62000,23.87000
2.74432,24.81000,25.62000,23.87000
2.76843,24.81000,25.62000,23.87000
2.79430,24.81000,25.62000,23.87000
2.81920,24.81000,25.62000,23.87000
2.84403,24.81000,25.62000,23.87000
2.86949,24.81000,25.75000,23.87000
2.89422,24.81000,25.75000,23.87000
2.91910,24.81000,25.75000,23.87000
2.94418,24.81000,25.75000,23.94000
2.96934,24.81000,25.75000,23.94000
2.99434,24.81000,25.75000,23.94000
3.01853,24.81000,25.75000,23.94000
3.04360,24.81000,25.75000,23.94000
3.06861,24.81000,25.75000,23.94000
3.09441,24.81000,25.75000,23.94000
3.11919,24.81000,25.75000,23.94000
3.14394,24.81000,25.87000,23.94000
3.16934,24.81000,25.87000,23.94000
3.19430,24.81000,25.87000,23.94000
3.21925,24.81000,25.87000,23.94000
3.24404,24.81000,25.87000,24.00000
3.26906,24.81000,25.87000,24.00000
3.29446,24.81000,25.87000,24.00000
3.31934,24.81000,25.87000,24.00000
3.34392,24.81000,25.87000,24.00000
3.36916,24.81000,25.87000,24.00000
3.39400,24.81000,25.87000,24.00000
3.41944,24.81000,25.87000,24.00000
3.44416,24.81000,26.06000,24.00000
3.46937,24.81000,26.06000,24.00000
3.49387,24.81000,26.06000,24.00000
3.51875,24.81000,26.06000,24.00000
3.54374,24.81000,26.06000,24.06000
3.56874,24.81000,26.06000,24.06000
3.59437,24.81000,26.06000,24.06000
3.61884,24.81000,26.06000,24.06000
3.64438,24.81000,26.06000,24.06000
3.66952,24.81000,26.06000,24.06000
3.69412,24.81000,26.06000,24.06000
3.72000,24.81000,26.37000,24.06000
3.74477,24.81000,26.37000,24.06000
3.76961,24.81000,26.37000,24.06000
3.79492,24.81000,26.37000,24.06000
3.81965,24.81000,26.37000,24.19000
3.84477,24.81000,26.37000,24.19000
3.86939,24.81000,26.37000,24.19000
3.89385,24.81000,26.37000,24.19000
3.91954,24.81000,26.37000,24.19000
3.94450,24.81000,26.37000,24.19000
3.96954,24.81000,26.37000,24.19000
3.99454,24.81000,26.62000,24.19000
4.01955,24.81000,26.62000,24.19000
4.04452,24.81000,26.62000,24.19000
4.06908,24.81000,26.62000,24.19000
4.09459,24.81000,26.62000,24.19000
4.11945,24.81000,26.62000,24.31000
4.14448,24.81000,26.62000,24.31000
4.16900,24.81000,26.62000,24.31000
4.19416,24.81000,26.62000,24.31000
4.21982,24.81000,26.62000,24.31000
