Time,Ttest,TH,TM
0.00000,24.31000,176.94000,107.87000
0.00000,24.31000,176.94000,107.87000
0.00101,24.31000,176.94000,107.87000
0.00101,24.31000,176.94000,107.87000
0.00101,24.31000,176.94000,107.87000
0.00101,24.31000,176.94000,107.87000
0.00201,24.31000,176.94000,107.87000
0.00201,24.31000,176.94000,107.87000
0.00201,24.31000,176.94000,107.87000
0.00201,24.31000,176.94000,107.87000
0.00201,24.31000,176.94000,107.87000
0.00301,24.31000,176.94000,107.87000
0.00301,24.31000,176.94000,107.87000
0.00301,24.31000,176.94000,107.87000
0.00301,24.31000,176.94000,107.87000
0.00401,24.31000,176.94000,107.87000
0.00401,24.31000,177.00000,107.87000
0.00502,24.31000,177.00000,107.87000
0.00502,24.31000,177.00000,107.87000
0.00502,24.31000,177.00000,107.87000
0.00502,24.31000,177.00000,107.87000
0.00601,24.31000,177.00000,107.87000
0.00601,24.31000,177.00000,107.87000
0.00601,24.31000,177.00000,107.87000
0.00701,24.31000,177.00000,107.87000
0.00701,24.31000,177.00000,107.87000
0.00701,24.31000,177.00000,107.87000
0.00801,24.31000,177.00000,107.87000
0.00801,24.31000,177.00000,107.87000
0.00801,24.31000,177.00000,107.87000
0.00901,24.31000,177.00000,107.87000
0.00901,24.31000,177.00000,107.87000
0.00901,24.31000,177.00000,107.87000
0.01001,24.31000,177.00000,107.87000
0.01001,24.31000,177.00000,107.87000
0.01001,24.31000,177.00000,107.87000
1.13663,24.31000,73.25000,31.12000
1.16243,24.31000,73.25000,31.12000
1.18742,24.31000,73.25000,31.12000
1.21246,24.31000,73.25000,31.12000
1.23736,24.31000,73.25000,31.12000
1.26248,24.31000,73.25000,31.12000
1.28738,24.31000,73.25000,31.12000
1.31270,24.31000,73.25000,31.12000
1.33757,24.31000,73.25000,31.12000
1.36248,24.31000,73.25000,31.12000
1.38748,24.31000,73.25000,31.12000
1.41252,24.31000,73.25000,31.12000
1.43707,24.31000,73.25000,31.12000
1.46200,24.25000,72.69000,30.69000
1.48757,24.25000,72.69000,30.69000
1.51250,24.25000,72.69000,30.69000
1.53752,24.25000,72.69000,30.69000
1.56258,24.25000,72.69000,30.69000
1.58749,24.25000,72.69000,30.69000
1.61258,24.25000,72.69000,30.69000
1.63699,24.25000,72.69000,30.69000
1.66267,24.25000,72.69000,30.69000
1.68751,24.25000,72.69000,30.69000
1.71263,24.25000,72.69000,30.69000
1.73803,24.25000,72.62000,30.69000
1.76211,24.25000,72.62000,30.69000
1.78729,24.25000,72.62000,30.69000
1.81263,24.25000,72.62000,30.69000
1.83738,24.25000,72.62000,30.69000
1.86269,24.25000,72.62000,30.69000
1.88765,24.25000,72.62000,30.69000
1.91259,24.25000,72.62000,30.69000
1.93758,24.25000,72.62000,30.69000
1.96244,24.25000,72.62000,30.69000
1.98753,24.25000,72.62000,30.69000
2.01253,24.25000,72.62000,30.69000
2.03753,24.25000,72.62000,30.69000
2.06254,24.25000,72.62000,30.69000
2.08781,24.25000,72.62000,30.69000
2.11233,24.25000,72.62000,30.69000
2.13735,24.25000,72.62000,30.69000
2.16267,24.25000,72.62000,30.69000
2.18821,24.25000,72.62000,30.69000
2.21261,24.25000,72.62000,30.69000
2.23776,24.25000,72.62000,30.69000
2.26290,24.25000,72.62000,30.69000
2.28862,24.25000,72.62000,30.69000
2.31324,24.25000,72.62000,30.69000
2.33826,24.25000,72.62000,30.69000
2.36291,24.25000,72.62000,30.69000
2.38781,24.25000,72.62000,30.69000
2.41288,24.25000,72.62000,30.69000
2.43787,24.25000,72.62000,30.69000
2.46331,24.25000,72.62000,30.69000
2.48788,24.25000,72.62000,30.69000
2.51284,24.25000,72.62000,30.69000
2.53779,24.25000,72.62000,30.69000
2.56282,24.25000,72.62000,30.69000
2.58800,24.25000,72.62000,30.69000
2.61272,24.25000,72.62000,30.69000
2.63748,24.25000,72.62000,30.69000
2.66247,24.25000,72.62000,30.69000
2.68712,24.25000,72.62000,30.69000
2.71256,24.25000,72.62000,30.69000
2.73801,24.25000,72.62000,30.69000
2.76302,24.25000,72.62000,30.69000
2.78799,24.25000,72.62000,30.69000
2.81343,24.25000,72.62000,30.69000
2.83852,24.25000,72.62000,30.69000
2.86308,24.25000,72.69000,30.69000
2.88805,24.25000,72.69000,30.69000
2.91341,24.25000,72.69000,30.69000
2.93737,24.25000,72.69000,30.69000
2.96348,24.25000,72.69000,30.69000
2.98829,24.25000,72.69000,30.69000
3.01346,24.25000,72.69000,30.69000
3.03835,24.25000,72.69000,30.69000
3.06348,24.25000,72.69000,30.69000
3.08785,24.25000,72.69000,30.69000
3.11311,24.25000,72.69000,30.69000
3.13801,24.25000,72.69000,30.69000
3.16310,24.25000,72.69000,30.69000
3.18759,24.25000,72.69000,30.69000
3.21259,24.25000,72.69000,30.69000
3.23759,24.25000,72.69000,30.69000
3.26259,24.25000,72.69000,30.69000
3.28811,24.25000,72.69000,30.69000
3.31320,24.25000,72.69000,30.69000
3.33828,24.25000,72.69000,30.69000
3.36349,24.25000,72.69000,30.69000
3.38850,24.25000,72.69000,30.69000
3.41365,24.25000,72.69000,30.69000
3.43848,24.25000,72.69000,30.69000
3.46341,24.25000,72.69000,30.69000
3.48824,24.25000,72.69000,30.69000
3.51255,24.25000,72.69000,30.69000
3.53793,24.25000,72.69000,30.69000
3.56371,24.25000,72.69000,30.69000
3.58834,24.25000,72.69000,30.69000
3.61295,24.25000,72.69000,30.69000
3.63811,24.25000,72.69000,30.69000
3.66315,24.25000,72.69000,30.69000
3.68864,24.25000,72.69000,30.69000
3.71298,24.25000,72.75000,30.69000
3.73833,24.25000,72.75000,30.69000
3.76337,24.25000,72.75000,30.69000
3.78772,24.25000,72.75000,30.69000
3.81274,24.25000,72.75000,30.62000
3.83789,24.25000,72.75000,30.62000
3.86344,24.25000,72.75000,30.62000
3.88838,24.25000,72.75000,30.62000
3.91386,24.25000,72.75000,30.62000
3.93875,24.25000,72.75000,30.62000
3.96388,24.25000,72.75000,30.62000
3.98841,24.25000,72.75000,30.62000
4.01388,24.25000,72.81000,30.62000
4.03847,24.25000,72.81000,30.62000
4.06311,24.25000,72.81000,30.62000
4.08866,24.25000,72.81000,30.62000
4.11320,24.25000,72.81000,30.62000
4.13848,24.25000,72.81000,30.62000
4.16355,24.25000,72.81000,30.62000
4.18874,24.25000,72.81000,30.62000
4.21355,24.25000,72.81000,30.62000
4.23885,24.25000,72.81000,30.62000
4.26398,24.25000,72.81000,30.62000
4.28855,24.25000,72.94000,30.62000
4.31280,24.25000,72.94000,30.62000
4.33843,24.25000,72.94000,30.62000
4.36346,24.25000,72.94000,30.62000
4.38799,24.25000,72.94000,30.62000
4.41312,24.25000,72.94000,30.56000
4.43811,24.25000,72.94000,30.56000
4.46360,24.25000,72.94000,30.56000
4.48805,24.25000,72.94000,30.56000
4.51316,24.25000,72.94000,30.56000
4.53822,24.25000,72.94000,30.56000
4.56315,24.25000,73.06000,30.56000
4.58779,24.25000,73.06000,30.56000
4.61279,24.25000,73.06000,30.56000
4.63879,24.25000,73.06000,30.56000
4.66376,24.25000,73.06000,30.56000
4.68875,24.25000,73.06000,30.56000
4.71323,24.25000,73.06000,30.56000
4.73854,24.25000,73.06000,30.56000
4.76420,24.25000,73.06000,30.56000
4.78865,24.25000,73.06000,30.56000
4.81420,24.25000,73.06000,30.56000
4.83852,24.25000,73.06000,30.56000
4.86380,24.25000,73.25000,30.56000
4.88824,24.25000,73.25000,30.56000
4.91372,24.25000,73.25000,30.56000
4.93856,24.25000,73.25000,30.56000
4.96396,24.25000,73.25000,30.56000
4.98857,24.25000,73.25000,30.56000
5.01336,24.25000,73.25000,30.50000
5.03880,24.25000,73.25000,30.50000
5.06394,24.25000,73.25000,30.50000
5.08908,24.25000,73.25000,30.50000
5.11431,24.25000,73.25000,30.50000
5.13832,24.25000,73.50000,30.50000
5.16332,24.25000,73.50000,30.50000
5.18883,24.25000,73.50000,30.50000
5.21428,24.25000,73.50000,30.50000
5.23854,24.25000,73.50000,30.50000
5.26435,24.25000,73.50000,30.50000
5.28874,24.25000,73.50000,30.50000
5.31438,24.25000,73.50000,30.50000
5.33855,24.25000,73.50000,30.50000
5.36394,24.25000,73.50000,30.50000
