Time,voltage,current,TH,Ttest,TM_1,TM_2,TM_3
0.00000,17.60400,0.90990,170.00000,122.50000,23.87000,62.25000,44.81000
0.27893,17.60200,0.90960,170.00000,122.50000,23.87000,62.25000,44.81000
0.47394,17.60000,0.90940,169.88000,122.50000,23.87000,62.25000,44.81000
0.67095,17.59900,0.90920,169.69000,122.50000,23.87000,62.25000,44.81000
0.86953,17.59700,0.90910,169.69000,122.50000,23.87000,62.25000,44.81000
1.06822,17.59700,0.90880,169.50000,122.50000,23.87000,62.25000,44.81000
1.26927,17.59600,0.90870,169.31000,122.50000,23.87000,62.25000,44.81000
1.46475,17.59500,0.90860,169.31000,122.50000,23.87000,62.25000,44.81000
1.66987,17.59500,0.90840,169.19000,122.50000,23.87000,62.25000,44.81000
1.86454,17.59400,0.90840,169.06000,122.50000,23.87000,62.25000,44.81000
2.07024,17.59400,0.90820,169.06000,122.50000,23.87000,62.25000,44.81000
2.26203,17.59300,0.90810,168.94000,122.50000,23.87000,62.25000,44.81000
2.46642,17.59300,0.90800,168.81000,122.50000,23.87000,62.25000,44.88000
2.66241,17.59300,0.90800,168.81000,122.50000,23.87000,62.25000,44.88000
2.86608,17.59200,0.90790,168.75000,122.50000,23.87000,62.25000,44.88000
3.06047,17.59200,0.90780,168.69000,122.50000,23.87000,62.25000,44.88000
3.26538,17.59200,0.90760,168.69000,122.50000,23.87000,62.25000,44.88000
3.46020,17.59200,0.90760,168.63000,122.44000,23.87000,62.25000,44.88000
3.66899,17.59200,0.90750,168.63000,122.44000,23.87000,62.25000,44.88000
3.86371,17.59100,0.90740,168.56000,122.37000,23.87000,62.25000,44.88000
4.05895,17.59100,0.90740,168.44000,122.31000,23.87000,62.25000,44.88000
4.25383,17.59100,0.90730,168.44000,122.31000,23.87000,62.25000,44.88000
4.46015,17.59100,0.90730,168.44000,122.31000,23.87000,62.25000,44.94000
4.65428,17.59100,0.90710,168.44000,122.25000,23.87000,62.25000,45.00000
4.85961,17.59100,0.90710,168.44000,122.25000,23.87000,62.25000,45.00000
5.05282,17.59100,0.90710,168.38000,122.19000,23.87000,62.25000,45.00000
5.25854,17.59100,0.90700,168.38000,122.19000,23.87000,62.25000,45.00000
5.45314,17.59100,0.90690,168.38000,122.12000,23.81000,62.25000,45.00000
5.64755,17.59100,0.90690,168.31000,122.12000,23.81000,62.25000,45.00000
5.85006,17.59100,0.90680,168.31000,122.12000,23.81000,62.25000,45.00000
6.05568,17.59100,0.90670,168.31000,122.06000,23.81000,62.25000,45.00000
6.24622,17.59100,0.90670,168.25000,122.06000,23.81000,62.25000,45.00000
6.45216,17.59100,0.90670,168.25000,122.06000,23.81000,62.25000,45.00000
6.64502,17.59000,0.90660,168.25000,122.06000,23.81000,62.25000,45.00000
6.84839,17.59100,0.90650,168.25000,122.06000,23.81000,62.25000,45.00000
7.04327,17.59100,0.90650,168.25000,122.06000,23.81000,62.25000,45.00000
7.24820,17.59100,0.90640,168.25000,122.00000,23.81000,62.25000,45.00000
7.44070,17.59100,0.90640,168.25000,122.00000,23.81000,62.25000,45.00000
7.64400,17.59100,0.90630,168.25000,122.00000,23.81000,62.31000,45.00000
7.84915,17.59100,0.90630,168.25000,122.00000,23.81000,62.31000,45.00000
8.04296,17.59100,0.90620,168.25000,122.00000,23.81000,62.31000,45.00000
8.23695,17.59100,0.90620,168.25000,122.00000,23.81000,62.31000,45.00000
8.43969,17.59000,0.90620,168.25000,122.00000,23.81000,62.31000,45.00000
8.64507,17.59100,0.90610,168.25000,122.00000,23.81000,62.31000,45.00000
8.83699,17.59100,0.90610,168.25000,122.00000,23.81000,62.31000,45.06000
9.04161,17.59100,0.90600,168.25000,122.00000,23.81000,62.31000,45.06000
9.23524,17.59100,0.90600,168.19000,122.00000,23.81000,62.31000,45.06000
9.43634,17.59100,0.90590,168.19000,122.00000,23.81000,62.31000,45.06000
9.64110,17.59100,0.90590,168.19000,121.94000,23.81000,62.31000,45.06000
9.83597,17.59100,0.90580,168.19000,121.94000,23.81000,62.31000,45.06000
10.02980,17.59100,0.90580,168.19000,121.94000,23.81000,62.31000,45.06000
10.23400,17.59100,0.90580,168.19000,121.94000,23.81000,62.31000,45.06000
10.43891,17.59100,0.90570,168.13000,121.94000,23.81000,62.38000,45.06000
10.63428,17.59100,0.90570,168.13000,121.94000,23.81000,62.38000,45.06000
10.82670,17.59100,0.90570,168.13000,121.94000,23.81000,62.38000,45.06000
11.03168,17.59100,0.90560,168.13000,121.94000,23.81000,62.38000,45.06000
11.22677,17.59100,0.90560,168.13000,121.94000,23.81000,62.38000,45.06000
11.43145,17.59100,0.90560,168.13000,121.94000,23.81000,62.38000,45.06000
11.62573,17.59100,0.90550,168.13000,121.94000,23.81000,62.38000,45.06000
11.83175,17.59100,0.90540,168.13000,121.94000,23.81000,62.38000,45.06000
12.02609,17.59100,0.90540,168.13000,121.94000,23.81000,62.38000,45.06000
12.23136,17.59100,0.90540,168.13000,121.94000,23.81000,62.38000,45.06000
12.42671,17.59100,0.90530,168.13000,121.94000,23.81000,62.38000,45.06000
12.62079,17.59100,0.90530,168.13000,121.94000,23.81000,62.38000,45.06000
12.82613,17.59100,0.90530,168.13000,121.94000,23.81000,62.38000,45.06000
13.02064,17.59100,0.90520,168.13000,121.87000,23.81000,62.38000,45.06000
13.22486,17.59100,0.90520,168.13000,121.87000,23.81000,62.38000,45.06000
