Time,voltage,current,TH, Ttest, TM_1, TM_2, TM_3
0.00000,17.13800,1.38670,18.44000,14.94000,24.06000,9.69000,13.56000
0.32214,17.12900,1.38050,18.44000,14.94000,24.12000,9.69000,13.56000
0.71809,17.12500,1.37530,18.44000,14.94000,24.12000,9.69000,13.56000
1.11912,17.12400,1.37040,18.44000,14.94000,24.19000,9.69000,13.56000
1.50667,17.12400,1.36600,18.44000,15.06000,24.19000,9.75000,13.56000
1.90586,17.12500,1.36180,18.62000,15.06000,24.19000,9.75000,13.56000
2.30681,17.12600,1.35770,18.75000,15.06000,24.19000,9.75000,13.56000
2.70348,17.12700,1.35380,19.06000,15.19000,24.19000,9.75000,13.56000
3.10686,17.12900,1.35000,19.19000,15.25000,24.19000,9.75000,13.56000
3.50689,17.13200,1.34640,19.37000,15.25000,24.19000,9.75000,13.56000
3.90714,17.13400,1.34290,19.56000,15.31000,24.19000,9.75000,13.56000
4.30658,17.13700,1.33950,20.06000,15.44000,24.19000,9.81000,13.56000
4.70737,17.13900,1.33610,20.37000,15.69000,24.19000,9.81000,13.56000
5.10457,17.14200,1.33290,20.62000,15.88000,24.19000,9.88000,13.56000
5.50104,17.14500,1.32980,21.12000,16.00000,24.19000,9.88000,13.56000
5.89267,17.14800,1.32670,21.44000,16.12000,24.19000,9.88000,13.56000
6.29024,17.15100,1.32370,21.75000,16.37000,24.25000,9.88000,13.56000
6.69118,17.15400,1.32070,22.31000,16.50000,24.25000,9.88000,13.56000
7.08684,17.15700,1.31780,22.69000,16.69000,24.25000,9.94000,13.56000
7.48524,17.15900,1.31490,23.06000,16.87000,24.25000,9.94000,13.56000
7.88574,17.16200,1.31210,23.37000,17.25000,24.25000,9.94000,13.56000
8.28432,17.16500,1.30930,24.00000,17.37000,24.25000,10.00000,13.56000
8.68926,17.16800,1.30670,24.37000,17.56000,24.25000,10.00000,13.56000
9.08794,17.17100,1.30400,24.69000,17.75000,24.25000,10.00000,13.56000
9.47625,17.17300,1.30140,25.44000,18.06000,24.25000,9.94000,13.56000
9.88413,17.17600,1.29880,25.81000,18.31000,24.25000,9.94000,13.56000
10.27339,17.17900,1.29630,26.19000,18.50000,24.25000,9.94000,13.56000
10.67487,17.18200,1.29380,27.00000,18.62000,24.25000,9.94000,13.56000
11.07106,17.18400,1.29130,27.37000,18.94000,24.25000,9.94000,13.56000
11.47357,17.18700,1.28880,27.69000,19.19000,24.25000,9.94000,13.56000
11.86970,17.19000,1.28650,28.12000,19.37000,24.25000,9.94000,13.50000
12.27433,17.19200,1.28410,28.94000,19.56000,24.25000,9.94000,13.50000
12.67463,17.19500,1.28180,29.31000,19.87000,24.25000,9.94000,13.50000
13.06722,17.19700,1.27940,29.75000,20.06000,24.25000,9.94000,13.50000
13.47342,17.20000,1.27720,30.56000,20.25000,24.25000,9.94000,13.50000
13.86899,17.20200,1.27490,30.94000,20.44000,24.25000,10.00000,13.50000
14.25973,17.20500,1.27270,31.37000,20.81000,24.25000,10.00000,13.50000
14.66814,17.20700,1.27050,32.19000,21.00000,24.25000,10.00000,13.50000
15.05448,17.20900,1.26830,32.56000,21.19000,24.25000,10.00000,13.50000
15.45683,17.21200,1.26620,32.94000,21.31000,24.25000,10.06000,13.50000
15.85800,17.21400,1.26410,33.31000,21.69000,24.25000,10.06000,13.50000
16.25304,17.21600,1.26200,34.06000,21.81000,24.25000,10.06000,13.50000
16.65218,17.21800,1.25990,34.44000,22.00000,24.25000,10.06000,13.50000
17.05299,17.22100,1.25790,34.88000,22.19000,24.25000,10.06000,13.50000
17.45713,17.22300,1.25590,35.56000,22.56000,24.25000,10.06000,13.50000
17.85491,17.22500,1.25390,35.94000,22.69000,24.19000,10.06000,13.50000
18.25448,17.22700,1.25190,36.31000,22.81000,24.19000,10.06000,13.50000
18.64339,17.22900,1.24990,37.13000,23.00000,24.19000,10.06000,13.50000
19.05145,17.23200,1.24800,37.56000,23.37000,24.19000,10.06000,13.50000
19.43986,17.23400,1.24610,38.00000,23.50000,24.19000,10.06000,13.50000
19.83995,17.23600,1.24420,38.75000,23.69000,24.19000,10.13000,13.50000
20.24201,17.23800,1.24240,39.19000,23.81000,24.19000,10.13000,13.50000
20.63693,17.24000,1.24050,39.56000,24.06000,24.19000,10.19000,13.50000
21.03963,17.24200,1.23860,39.94000,24.19000,24.19000,10.19000,13.50000
21.44032,17.24400,1.23680,40.69000,24.37000,24.19000,10.19000,13.50000
21.84125,17.24600,1.23500,41.06000,24.56000,24.25000,10.19000,13.44000
22.23757,17.24800,1.23320,41.44000,24.81000,24.25000,10.19000,13.44000
22.63645,17.24900,1.23150,42.19000,25.00000,24.25000,10.19000,13.44000
23.02549,17.25100,1.22980,42.56000,25.19000,24.25000,10.19000,13.44000
23.43552,17.25400,1.22810,42.94000,25.37000,24.25000,10.19000,13.44000
23.82637,17.25500,1.22640,43.75000,25.69000,24.25000,10.19000,13.44000
24.22508,17.25700,1.22460,44.13000,25.87000,24.25000,10.25000,13.44000
24.61905,17.25900,1.22300,44.50000,26.00000,24.25000,10.25000,13.44000
25.02412,17.26100,1.22130,44.94000,26.19000,24.25000,10.25000,13.44000
25.42426,17.26300,1.21970,45.63000,26.44000,24.25000,10.25000,13.44000
25.82001,17.26400,1.21810,46.00000,26.62000,24.25000,10.25000,13.44000
26.22289,17.26600,1.21640,46.38000,26.75000,24.25000,10.25000,13.44000
26.62036,17.26800,1.21480,47.06000,26.94000,24.25000,10.25000,13.44000
27.01655,17.27000,1.21330,47.44000,27.25000,24.25000,10.25000,13.44000
27.41108,17.27100,1.21170,47.81000,27.44000,24.25000,10.25000,13.44000
27.80714,17.27300,1.21010,48.56000,27.56000,24.25000,10.25000,13.44000
28.20795,17.27400,1.20860,48.94000,27.69000,24.25000,10.25000,13.44000
28.60582,17.27600,1.20710,49.31000,28.00000,24.25000,10.31000,13.44000
29.00918,17.27800,1.20560,49.94000,28.12000,24.25000,10.31000,13.44000
29.40904,17.27900,1.20410,50.31000,28.25000,24.25000,10.31000,13.44000
29.80576,17.28100,1.20260,50.63000,28.50000,24.25000,10.31000,13.44000
30.20745,17.28200,1.20110,50.94000,28.81000,24.25000,10.31000,13.44000
30.60917,17.28400,1.19970,51.63000,28.94000,24.25000,10.31000,13.44000
30.99388,17.28500,1.19820,52.00000,29.06000,24.25000,10.38000,13.44000
31.39411,17.28700,1.19680,52.38000,29.19000,24.25000,10.44000,13.44000
31.79399,17.28800,1.19540,53.00000,29.50000,24.25000,10.44000,13.44000
32.19335,17.29000,1.19390,53.31000,29.62000,24.25000,10.44000,13.44000
32.59138,17.29100,1.19260,53.69000,29.75000,24.25000,10.44000,13.44000
32.98746,17.29300,1.19120,54.25000,29.87000,24.25000,10.44000,13.44000
33.38880,17.29400,1.18980,54.63000,30.12000,24.25000,10.44000,13.44000
33.79261,17.29600,1.18850,55.00000,30.31000,24.25000,10.44000,13.44000
34.18932,17.29700,1.18710,55.63000,30.44000,24.25000,10.44000,13.44000
34.58958,17.29900,1.18580,55.94000,30.62000,24.25000,10.44000,13.44000
34.99020,17.30000,1.18450,56.31000,30.87000,24.25000,10.44000,13.44000
35.38579,17.30100,1.18310,56.63000,31.06000,24.25000,10.44000,13.44000
35.77685,17.30300,1.18190,57.31000,31.19000,24.25000,10.44000,13.44000
36.17423,17.30400,1.18050,57.63000,31.31000,24.25000,10.44000,13.44000
36.57372,17.30500,1.17930,57.94000,31.62000,24.25000,10.44000,13.44000
36.97058,17.30700,1.17800,58.56000,31.75000,24.25000,10.44000,13.44000
37.37525,17.30800,1.17670,58.88000,31.94000,24.25000,10.44000,13.44000
37.77104,17.31000,1.17550,59.13000,32.06000,24.25000,10.44000,13.44000
38.17691,17.31100,1.17420,59.81000,32.31000,24.25000,10.44000,13.44000
38.57467,17.31200,1.17300,60.06000,32.44000,24.25000,10.44000,13.44000
38.97371,17.31300,1.17180,60.38000,32.56000,24.25000,10.44000,13.44000
39.37544,17.31500,1.17060,60.75000,32.69000,24.25000,10.44000,13.44000
39.77045,17.31600,1.16940,61.38000,32.94000,24.25000,10.44000,13.44000
40.17315,17.31700,1.16820,61.63000,33.13000,24.25000,10.44000,13.44000
40.56108,17.31800,1.16700,61.94000,33.25000,24.25000,10.50000,13.44000
40.95766,17.32000,1.16580,62.56000,33.38000,24.25000,10.50000,13.44000
41.35551,17.32100,1.16460,62.81000,33.63000,24.25000,10.50000,13.44000
41.75795,17.32200,1.16350,63.13000,33.75000,24.25000,10.50000,13.38000
42.15692,17.32300,1.16230,63.75000,33.88000,24.25000,10.50000,13.38000
42.55496,17.32400,1.16120,64.00000,34.00000,24.25000,10.50000,13.38000
42.95688,17.32500,1.16010,64.31000,34.31000,24.25000,10.50000,13.38000
43.35613,17.32700,1.15890,64.87000,34.44000,24.25000,10.56000,13.38000
43.74472,17.32800,1.15790,65.12000,34.56000,24.25000,10.56000,13.38000
44.15200,17.32900,1.15680,65.37000,34.69000,24.25000,10.56000,13.38000
44.54197,17.33000,1.15570,65.69000,34.94000,24.25000,10.56000,13.38000
44.94317,17.33100,1.15460,66.25000,35.06000,24.25000,10.56000,13.38000
45.34191,17.33200,1.15350,66.50000,35.19000,24.25000,10.63000,13.38000
45.73959,17.33300,1.15240,66.81000,35.44000,24.25000,10.63000,13.38000
46.13712,17.33500,1.15140,67.31000,35.63000,24.25000,10.63000,13.38000
46.54376,17.33600,1.15030,67.62000,35.75000,24.25000,10.69000,13.38000
46.93697,17.33700,1.14930,67.87000,35.88000,24.19000,10.69000,13.38000
47.34049,17.33800,1.14830,68.44000,36.00000,24.19000,10.69000,13.38000
47.74099,17.33900,1.14720,68.75000,36.25000,24.19000,10.69000,13.38000
48.12854,17.34000,1.14620,69.06000,36.38000,24.19000,10.69000,13.38000
48.53754,17.34100,1.14520,69.31000,36.56000,24.19000,10.69000,13.38000
48.93761,17.34200,1.14420,69.87000,36.69000,24.19000,10.75000,13.38000
49.32770,17.34300,1.14320,70.12000,36.94000,24.19000,10.81000,13.38000
49.72351,17.34400,1.14220,70.37000,37.00000,24.19000,10.81000,13.38000
50.12448,17.34500,1.14120,71.00000,37.06000,24.19000,10.81000,13.38000
50.52056,17.34600,1.14020,71.19000,37.19000,24.19000,10.81000,13.38000
50.92500,17.34700,1.13920,71.37000,37.44000,24.19000,10.81000,13.38000
51.32723,17.34800,1.13830,72.00000,37.56000,24.19000,10.81000,13.38000
51.72766,17.34900,1.13730,72.19000,37.69000,24.19000,10.81000,13.38000
52.12615,17.35000,1.13640,72.44000,37.81000,24.19000,10.81000,13.38000
52.52541,17.35100,1.13540,72.94000,38.06000,24.19000,10.81000,13.38000
52.92337,17.35200,1.13450,73.19000,38.19000,24.19000,10.81000,13.38000
53.31984,17.35300,1.13350,73.44000,38.31000,24.19000,10.81000,13.38000
53.70907,17.35400,1.13260,73.69000,38.50000,24.19000,10.81000,13.38000
54.10648,17.35400,1.13170,74.25000,38.75000,24.19000,10.81000,13.38000
54.51093,17.35500,1.13080,74.50000,38.88000,24.19000,10.81000,13.38000
54.90777,17.35600,1.12990,74.81000,39.00000,24.19000,10.81000,13.44000
55.30976,17.35700,1.12910,75.31000,39.06000,24.19000,10.81000,13.44000
55.70577,17.35800,1.12810,75.56000,39.31000,24.19000,10.81000,13.44000
56.10899,17.35900,1.12720,75.81000,39.44000,24.19000,10.81000,13.44000
56.50239,17.36000,1.12640,76.31000,39.56000,24.19000,10.81000,13.44000
