Time,voltage,current,TH,Ttest,TM_1,TM_2,TM_3,FlipEvent
0.00101,28.47800,2.20900,26.75000,24.69000,26.19000,24.31000,23.12000,0
0.31061,28.47100,2.19800,26.75000,24.69000,26.19000,24.31000,23.12000,0
0.51159,28.46600,2.18770,26.87000,24.69000,26.19000,24.31000,23.12000,0
0.71440,28.46100,2.16850,27.00000,24.69000,26.19000,24.31000,23.12000,0
1.10239,28.46000,2.15960,27.00000,24.69000,26.25000,24.31000,23.12000,0
1.30364,28.46000,2.15100,27.25000,24.69000,26.25000,24.31000,23.12000,0
1.50751,28.46200,2.14280,27.50000,24.69000,26.31000,24.31000,23.12000,0
1.70866,28.46400,2.13490,27.50000,24.69000,26.31000,24.31000,23.12000,0
1.91187,28.47000,2.11980,28.50000,24.69000,26.69000,24.31000,23.12000,0
2.29786,28.47400,2.11260,28.50000,24.69000,26.69000,24.31000,23.12000,0
2.49883,28.47800,2.10560,29.00000,24.69000,26.87000,24.31000,23.12000,0
2.69941,28.48300,2.09880,29.50000,24.69000,27.06000,24.31000,23.12000,0
2.90127,28.48800,2.09220,29.50000,24.69000,27.06000,24.31000,23.12000,0
3.10274,28.49300,2.08570,30.12000,24.69000,27.31000,24.31000,23.12000,0
3.30302,28.49900,2.07940,30.81000,24.69000,27.62000,24.31000,23.12000,0
3.50550,28.51000,2.06720,31.50000,24.69000,27.94000,24.31000,23.12000,0
3.89296,28.51500,2.06130,32.13000,24.69000,28.25000,24.31000,23.12000,0
4.09736,28.52100,2.05560,32.13000,24.69000,28.25000,24.31000,23.12000,0
4.29961,28.53300,2.04430,33.56000,24.69000,28.62000,24.31000,23.12000,0
4.70356,28.54500,2.03360,34.25000,24.69000,29.31000,24.31000,23.12000,0
5.09279,28.55100,2.02830,34.94000,24.69000,29.31000,24.31000,23.12000,0
5.29572,28.56300,2.01810,35.81000,24.69000,30.25000,24.31000,23.12000,0
5.69822,28.57500,2.00810,36.63000,24.69000,30.62000,24.31000,23.19000,0
6.08791,28.58100,2.00330,37.44000,24.69000,31.19000,24.31000,23.19000,0
6.28944,28.58700,1.99850,37.44000,24.69000,31.19000,24.31000,23.19000,0
6.49043,28.59900,1.98920,39.06000,24.69000,31.69000,24.31000,23.19000,0
6.89389,28.61100,1.98010,39.88000,24.69000,32.81000,24.31000,23.19000,0
7.28053,28.61700,1.97570,40.69000,24.69000,32.81000,24.31000,23.19000,0
7.48052,28.62300,1.97130,40.69000,24.69000,33.38000,24.31000,23.19000,0
7.68123,28.62800,1.96700,41.44000,24.69000,33.88000,24.31000,23.19000,0
7.88270,28.63400,1.96270,42.31000,24.69000,33.88000,24.31000,23.19000,0
8.08387,28.64500,1.95430,43.19000,24.62000,35.06000,24.31000,23.19000,0
8.48393,28.65600,1.94610,43.94000,24.62000,35.63000,24.31000,23.19000,0
8.88713,28.66700,1.93810,45.63000,24.62000,36.25000,24.31000,23.19000,0
9.27608,28.67300,1.93410,45.63000,24.62000,36.88000,24.31000,23.19000,0
9.47676,28.67800,1.93030,46.44000,24.62000,36.88000,24.25000,23.19000,0
9.67792,28.68900,1.92260,47.19000,24.62000,38.19000,24.25000,23.19000,0
10.07970,28.69900,1.91510,48.81000,24.62000,38.81000,24.25000,23.19000,0
10.48515,28.70900,1.90770,49.63000,24.62000,39.44000,24.25000,23.19000,0
10.87286,28.71900,1.90050,50.44000,24.62000,40.13000,24.25000,23.19000,0
11.27746,28.72900,1.89340,51.19000,24.62000,41.31000,24.25000,23.19000,0
11.66830,28.73400,1.88990,52.13000,24.62000,41.31000,24.25000,23.19000,0
11.86900,28.74300,1.88300,53.00000,24.62000,42.69000,24.25000,23.19000,0
12.26927,28.75200,1.87630,54.75000,24.62000,43.31000,24.25000,23.19000,0
12.67064,28.76200,1.86960,55.69000,24.62000,44.00000,24.25000,23.19000,0
13.07234,28.77100,1.86310,56.56000,24.62000,44.63000,24.25000,23.19000,0
