Time,voltage,current,TH,Ttest,TM_1,TM_2,TM_3
13.68629,28.74500,1.84770,61.13000,24.75000,26.25000,19.37000,19.19000
13.88956,28.75000,1.84430,61.13000,24.75000,26.25000,19.37000,19.19000
14.08961,28.75500,1.84080,62.00000,24.75000,26.44000,19.37000,19.19000
14.29074,28.76000,1.83740,63.13000,24.75000,26.44000,19.37000,19.19000
14.47736,28.76500,1.83400,63.13000,24.75000,26.62000,19.37000,19.19000
14.67905,28.77000,1.83070,64.19000,24.75000,26.75000,19.37000,19.19000
14.87961,28.77500,1.82730,65.19000,24.75000,26.75000,19.37000,19.19000
15.08180,28.78000,1.82410,65.19000,24.75000,26.87000,19.37000,19.19000
15.28292,28.78500,1.82080,66.12000,24.75000,27.06000,19.37000,19.19000
15.48399,28.79000,1.81750,67.25000,24.75000,27.06000,19.37000,19.19000
15.68420,28.79500,1.81430,67.25000,24.75000,27.19000,19.37000,19.19000
15.87158,28.79900,1.81110,68.25000,24.75000,27.31000,19.37000,19.19000
16.07357,28.80400,1.80800,69.25000,24.75000,27.31000,19.37000,19.19000
16.27700,28.80900,1.80480,69.25000,24.75000,27.44000,19.37000,19.19000
16.47909,28.81400,1.80170,70.19000,24.75000,27.44000,19.37000,19.19000
16.67956,28.81800,1.79870,71.25000,24.75000,27.62000,19.37000,19.19000
16.86672,28.82300,1.79560,71.25000,24.75000,27.75000,19.37000,19.19000
17.07033,28.82700,1.79260,72.25000,24.75000,27.75000,19.37000,19.19000
17.27248,28.83200,1.78960,73.19000,24.75000,27.94000,19.37000,19.19000
17.47545,28.83600,1.78660,73.19000,24.75000,28.06000,19.37000,19.19000
17.67711,28.84000,1.78360,74.12000,24.75000,28.06000,19.37000,19.19000
17.86451,28.84500,1.78070,75.19000,24.75000,28.19000,19.37000,19.19000
18.06363,28.84900,1.77780,75.19000,24.75000,28.37000,19.37000,19.19000
18.26528,28.85300,1.77490,76.25000,24.75000,28.37000,19.37000,19.19000
18.46738,28.85800,1.77200,76.25000,24.75000,28.50000,19.37000,19.19000
18.67167,28.86200,1.76920,77.19000,24.75000,28.50000,19.44000,19.19000
18.87186,28.86600,1.76630,78.25000,24.75000,28.69000,19.44000,19.19000
19.05725,28.87000,1.76350,79.25000,24.75000,28.87000,19.44000,19.19000
19.25859,28.87400,1.76080,79.25000,24.75000,28.87000,19.44000,19.19000
19.46198,28.87800,1.75800,80.19000,24.75000,29.06000,19.44000,19.19000
19.66382,28.88200,1.75530,80.19000,24.75000,29.25000,19.44000,19.19000
19.86629,28.88600,1.75250,81.06000,24.75000,29.25000,19.44000,19.19000
20.05331,28.89000,1.74990,82.06000,24.75000,29.44000,19.44000,19.19000
20.25787,28.89400,1.74720,82.06000,24.75000,29.56000,19.44000,19.19000
20.45889,28.89800,1.74450,83.00000,24.75000,29.56000,19.44000,19.19000
20.66074,28.90200,1.74190,83.94000,24.75000,29.81000,19.44000,19.19000
20.86310,28.90600,1.73930,83.94000,24.75000,29.94000,19.44000,19.19000
21.05031,28.91000,1.73670,84.81000,24.75000,29.94000,19.44000,19.19000
21.25253,28.91400,1.73410,85.81000,24.75000,30.06000,19.44000,19.19000
21.45532,28.91700,1.73150,85.81000,24.75000,30.06000,19.44000,19.19000
21.65625,28.92100,1.72900,86.75000,24.75000,30.25000,19.44000,19.19000
21.85910,28.92500,1.72650,87.62000,24.75000,30.37000,19.44000,19.19000
22.04740,28.92900,1.72390,87.62000,24.75000,30.37000,19.44000,19.19000
22.24753,28.93200,1.72150,88.50000,24.75000,30.56000,19.44000,19.19000
22.44878,28.93600,1.71900,89.50000,24.75000,30.69000,19.44000,19.19000
22.65055,28.94000,1.71650,89.50000,24.75000,30.69000,19.44000,19.19000
22.85135,28.94300,1.71410,90.37000,24.75000,30.81000,19.44000,19.19000
23.05188,28.94700,1.71170,91.25000,24.75000,30.94000,19.44000,19.19000
23.25334,28.95000,1.70930,91.25000,24.75000,30.94000,19.44000,19.19000
23.44047,28.95400,1.70690,92.06000,24.75000,31.06000,19.44000,19.19000
23.64410,28.95700,1.70450,92.06000,24.75000,31.06000,19.44000,19.19000
23.84681,28.96100,1.70220,93.00000,24.75000,31.19000,19.44000,19.19000
24.04942,28.96400,1.69980,93.87000,24.75000,31.31000,19.44000,19.19000
24.23515,28.96800,1.69750,93.87000,24.75000,31.31000,19.44000,19.19000
24.43742,28.97100,1.69520,94.69000,24.75000,31.50000,19.44000,19.19000
24.63823,28.97400,1.69290,95.50000,24.75000,31.69000,19.44000,19.19000
24.84129,28.97700,1.69070,95.50000,24.75000,31.69000,19.44000,19.19000
25.04407,28.98100,1.68840,96.44000,24.75000,31.87000,19.44000,19.19000
25.24528,28.98400,1.68610,97.31000,24.75000,32.06000,19.44000,19.19000
25.43252,28.98700,1.68390,97.31000,24.75000,32.06000,19.44000,19.19000
