Time,voltage,current,TH,Ttest,TM_1,TM_2,TM_3,FlipEvent
0.00300,29.87100,1.12280,304.50000,23.56000,197.69000,23.25000,22.62000,0
0.30701,29.87100,1.12260,304.50000,23.56000,197.69000,23.25000,22.62000,0
0.51045,29.87000,1.12230,304.50000,23.56000,197.69000,23.25000,22.62000,0
0.71304,29.87000,1.12210,304.50000,23.56000,197.69000,23.25000,22.62000,0
0.91265,29.87000,1.12190,304.50000,23.56000,197.69000,23.25000,22.62000,0
1.11391,29.87000,1.12180,304.50000,23.56000,197.69000,23.25000,22.62000,0
1.29908,29.86900,1.12160,304.50000,23.56000,197.63000,23.25000,22.62000,0
1.50298,29.86900,1.12140,304.50000,23.56000,197.63000,23.25000,22.62000,0
1.70437,29.86900,1.12120,304.50000,23.56000,197.63000,23.25000,22.62000,0
1.90764,29.86900,1.12110,304.50000,23.56000,197.63000,23.25000,22.62000,0
2.09546,29.86900,1.12090,304.56000,23.56000,197.63000,23.25000,22.62000,0
2.29519,29.86900,1.12070,304.56000,23.56000,197.63000,23.25000,22.62000,0
2.49918,29.87000,1.12050,304.56000,23.56000,197.63000,23.25000,22.62000,0
2.70115,29.86900,1.12040,304.63000,23.56000,197.63000,23.25000,22.62000,0
2.90400,29.87000,1.12020,304.63000,23.56000,197.63000,23.25000,22.62000,0
3.10555,29.87000,1.12000,304.69000,23.56000,197.63000,23.25000,22.62000,0
3.29148,29.87000,1.11990,304.69000,23.56000,197.69000,23.25000,22.62000,0
3.49516,29.87000,1.11970,304.69000,23.56000,197.69000,23.25000,22.62000,0
3.69641,29.87000,1.11960,304.75000,23.56000,197.69000,23.25000,22.62000,0
3.89801,29.87000,1.11940,304.75000,23.56000,197.69000,23.25000,22.62000,0
4.10117,29.87000,1.11930,304.81000,23.56000,197.69000,23.25000,22.62000,0
4.28714,29.87000,1.11910,304.88000,23.56000,197.69000,23.25000,22.62000,0
4.48693,29.87000,1.11900,304.88000,23.56000,197.69000,23.25000,22.62000,0
4.68971,29.87100,1.11880,304.94000,23.56000,197.69000,23.25000,22.62000,0
4.89148,29.87100,1.11860,305.00000,23.56000,197.69000,23.25000,22.62000,0
5.09601,29.87100,1.11850,305.00000,23.56000,197.69000,23.25000,22.62000,0
5.28315,29.87100,1.11840,305.06000,23.56000,197.69000,23.25000,22.62000,0
5.48500,29.87100,1.11820,305.13000,23.56000,197.69000,23.25000,22.62000,0
