Time,voltage,current,TH, Ttest, TM_1, TM_2, TM_3
0.00000,17.57200,0.93570,158.44000,112.87000,23.87000,63.56000,47.69000
0.43893,17.56800,0.93500,158.38000,112.87000,23.87000,63.56000,47.69000
0.82324,17.56600,0.93460,158.25000,112.87000,23.87000,63.56000,47.69000
1.22156,17.56400,0.93420,158.00000,112.87000,23.87000,63.56000,47.69000
1.62624,17.56300,0.93390,157.88000,112.87000,23.87000,63.56000,47.69000
2.02699,17.56200,0.93350,157.75000,112.87000,23.87000,63.56000,47.69000
2.42239,17.56200,0.93320,157.69000,112.87000,23.87000,63.56000,47.69000
2.82285,17.56100,0.93290,157.50000,112.87000,23.87000,63.56000,47.69000
3.21838,17.56100,0.93270,157.44000,112.87000,23.87000,63.56000,47.69000
3.62180,17.56100,0.93240,157.44000,112.87000,23.87000,63.56000,47.69000
4.02223,17.56100,0.93220,157.31000,112.81000,23.87000,63.56000,47.69000
4.42377,17.56100,0.93200,157.25000,112.81000,23.87000,63.56000,47.69000
4.82116,17.56100,0.93170,157.25000,112.81000,23.87000,63.56000,47.69000
5.20625,17.56100,0.93150,157.19000,112.81000,23.87000,63.56000,47.69000
5.60966,17.56100,0.93130,157.19000,112.81000,23.87000,63.56000,47.69000
6.01779,17.56100,0.93110,157.19000,112.81000,23.87000,63.56000,47.69000
6.40914,17.56100,0.93090,157.19000,112.81000,23.87000,63.56000,47.69000
6.80281,17.56100,0.93070,157.19000,112.81000,23.87000,63.56000,47.69000
7.20786,17.56100,0.93050,157.19000,112.81000,23.87000,63.56000,47.69000
7.60649,17.56200,0.93020,157.25000,112.75000,23.87000,63.56000,47.69000
7.99585,17.56200,0.93010,157.25000,112.75000,23.87000,63.56000,47.69000
8.39479,17.56200,0.92990,157.25000,112.75000,23.87000,63.56000,47.69000
8.80285,17.56200,0.92970,157.25000,112.75000,23.87000,63.56000,47.69000
9.20664,17.56200,0.92950,157.38000,112.75000,23.87000,63.56000,47.75000
9.60269,17.56200,0.92940,157.38000,112.75000,23.87000,63.56000,47.75000
9.99852,17.56300,0.92920,157.44000,112.75000,23.87000,63.56000,47.81000
10.39429,17.56300,0.92900,157.44000,112.75000,23.87000,63.56000,47.81000
10.79386,17.56300,0.92890,157.50000,112.75000,23.87000,63.56000,47.81000
11.19600,17.56300,0.92870,157.56000,112.75000,23.94000,63.56000,47.81000
11.59152,17.56400,0.92850,157.63000,112.75000,23.94000,63.56000,47.88000
11.99016,17.56400,0.92840,157.69000,112.75000,23.94000,63.56000,47.88000
12.37732,17.56400,0.92820,157.69000,112.75000,23.94000,63.56000,47.88000
12.78898,17.56400,0.92810,157.81000,112.75000,23.94000,63.56000,47.88000
13.18894,17.56400,0.92790,157.88000,112.75000,23.94000,63.56000,47.88000
