Time,voltage,current,TH,Ttest,TM_1,TM_2,TM_3,FlipEvent
0.00219,29.75200,1.16000,279.19000,23.81000,161.56000,15.75000,19.25000,0
0.30763,29.75200,1.15990,279.25000,23.81000,161.56000,15.75000,19.25000,0
0.49583,29.75200,1.15980,279.31000,23.81000,162.06000,15.75000,19.25000,0
0.69840,29.75200,1.15980,279.31000,23.81000,162.06000,15.75000,19.25000,0
0.89995,29.75200,1.15970,279.31000,23.81000,162.63000,15.75000,19.25000,0
1.10284,29.75200,1.15960,279.44000,23.81000,163.13000,15.75000,19.25000,0
1.30516,29.75300,1.15960,279.44000,23.81000,163.13000,15.75000,19.25000,0
1.49219,29.75300,1.15950,279.50000,23.81000,163.63000,15.75000,19.25000,0
1.69497,29.75300,1.15940,279.56000,23.81000,164.13000,15.75000,19.25000,0
1.89541,29.75300,1.15940,279.56000,23.81000,164.13000,15.75000,19.25000,0
2.09769,29.75300,1.15930,279.63000,23.81000,164.38000,15.81000,19.25000,0
2.30036,29.75300,1.15930,279.63000,23.81000,164.38000,15.81000,19.25000,0
2.48846,29.75300,1.15930,279.63000,23.81000,163.38000,15.81000,19.25000,0
2.69311,29.75300,1.15920,279.75000,23.81000,160.38000,15.81000,19.37000,0
2.89495,29.75300,1.15920,279.75000,23.81000,160.38000,15.88000,19.37000,0
3.09678,29.75300,1.15910,279.81000,23.81000,157.25000,15.94000,19.37000,0
3.29665,29.75300,1.15910,279.88000,23.81000,154.25000,15.94000,19.37000,0
3.48441,29.75300,1.15900,279.88000,23.81000,154.25000,15.94000,19.37000,0
3.68759,29.75300,1.15900,279.94000,23.81000,151.13000,15.94000,19.44000,0
3.89030,29.75300,1.15890,280.00000,23.81000,148.38000,15.94000,19.44000,0
4.09312,29.75300,1.15890,280.00000,23.81000,148.38000,15.94000,19.44000,0
4.29458,29.75300,1.15890,280.13000,23.81000,145.94000,15.94000,19.44000,0
4.48189,29.75300,1.15880,280.19000,23.81000,145.94000,16.00000,19.44000,0
4.68238,29.75300,1.15880,280.19000,23.81000,143.31000,16.00000,19.44000,0
4.88591,29.75300,1.15880,280.31000,23.81000,141.00000,16.00000,19.44000,0
5.08910,29.75300,1.15880,280.38000,23.81000,141.00000,16.00000,19.31000,0
5.29104,29.75300,1.15880,280.38000,23.81000,139.06000,16.00000,19.31000,0
5.47901,29.75300,1.15870,280.44000,23.81000,137.25000,16.00000,19.31000,0
5.68079,29.75300,1.15870,280.50000,23.81000,137.25000,16.06000,19.19000,0
5.88383,29.75300,1.15870,280.50000,23.81000,135.69000,16.06000,19.12000,0
6.08395,29.75200,1.15870,280.50000,23.81000,134.44000,16.06000,19.12000,0
6.28672,29.75300,1.15870,280.50000,23.81000,134.44000,16.06000,19.00000,0
6.48701,29.75200,1.15860,280.50000,23.81000,133.19000,16.06000,18.75000,0
6.67361,29.75200,1.15860,280.56000,23.81000,133.19000,16.06000,18.75000,0
6.87362,29.75200,1.15870,280.63000,23.81000,132.19000,16.06000,18.50000,0
7.07515,29.75200,1.15860,280.63000,23.81000,132.88000,16.06000,18.50000,0
7.27787,29.75200,1.15860,280.69000,23.81000,132.88000,16.06000,18.31000,0
7.47868,29.75200,1.15860,280.69000,23.81000,134.13000,16.06000,18.19000,0
7.68032,29.75200,1.15860,280.69000,23.81000,134.13000,16.12000,18.19000,0
7.88265,29.75200,1.15860,280.69000,23.81000,138.19000,16.19000,18.00000,0
8.27174,29.75200,1.15850,280.69000,23.81000,138.19000,16.25000,18.00000,0
8.47420,29.75200,1.15850,280.69000,23.81000,140.50000,16.25000,17.94000,0
8.67756,29.75200,1.15850,280.69000,23.81000,142.88000,16.25000,17.94000,0
8.86387,29.75200,1.15840,280.69000,23.81000,142.88000,16.25000,17.87000,0
9.06483,29.75200,1.15840,280.69000,23.81000,145.00000,16.25000,17.87000,0
9.26691,29.75200,1.15840,280.69000,23.81000,145.38000,16.25000,17.87000,0
9.46915,29.75200,1.15840,280.69000,23.81000,145.38000,16.25000,17.87000,0
9.67364,29.75200,1.15840,280.69000,23.81000,144.75000,16.31000,17.87000,0
10.07313,29.75200,1.15840,280.69000,23.81000,141.38000,16.31000,17.94000,0
10.46315,29.75200,1.15840,280.69000,23.81000,141.38000,16.44000,18.00000,0
10.66625,29.75200,1.15840,280.69000,23.81000,139.75000,16.44000,18.00000,0
10.86642,29.75200,1.15840,280.69000,23.81000,138.00000,16.50000,18.00000,0
11.06802,29.75100,1.15840,280.69000,23.81000,136.50000,16.50000,17.94000,0
11.45574,29.75100,1.15850,280.69000,23.81000,136.50000,16.50000,17.94000,0
11.65818,29.75100,1.15850,280.69000,23.81000,135.25000,16.50000,17.94000,0
11.86015,29.75100,1.15850,280.63000,23.81000,134.06000,16.50000,17.94000,0
12.06317,29.75100,1.15860,280.63000,23.81000,133.06000,16.50000,17.94000,0
12.45059,29.75100,1.15870,280.56000,23.81000,132.19000,16.50000,17.94000,0
12.65182,29.75000,1.15880,280.56000,23.81000,132.19000,16.50000,17.94000,0
12.85357,29.75000,1.15890,280.50000,23.81000,131.44000,16.50000,17.94000,0
13.05603,29.75000,1.15890,280.38000,23.81000,130.75000,16.62000,17.94000,0
13.25811,29.75000,1.15920,280.25000,23.81000,130.19000,16.69000,18.69000,0
13.64611,29.74900,1.15920,280.06000,23.81000,130.19000,16.75000,18.94000,0
13.84751,29.74900,1.15920,280.06000,23.81000,130.50000,16.75000,19.00000,0
14.04830,29.74900,1.15930,279.94000,23.81000,131.50000,16.75000,19.00000,0
14.25185,29.74900,1.15940,279.75000,23.81000,132.88000,16.81000,18.87000,0
14.65446,29.74900,1.15950,279.38000,23.81000,134.13000,16.87000,18.81000,0
15.04407,29.74800,1.15940,279.38000,23.81000,135.06000,16.87000,18.75000,0
15.24635,29.74800,1.15950,279.19000,23.81000,135.75000,16.94000,18.75000,0
15.44772,29.74800,1.15950,279.00000,23.81000,136.25000,16.94000,18.69000,0
15.83729,29.74800,1.15950,278.88000,23.81000,136.25000,16.94000,18.62000,0
16.04018,29.74800,1.15950,278.88000,23.81000,136.69000,16.94000,18.56000,0
16.24224,29.74800,1.15950,278.75000,23.81000,136.94000,16.94000,18.56000,0
16.44473,29.74800,1.15950,278.63000,23.81000,137.19000,16.94000,18.56000,0
16.83474,29.74800,1.15950,278.56000,23.81000,137.44000,16.94000,18.56000,0
17.03461,29.74800,1.15960,278.56000,23.81000,137.44000,16.94000,18.56000,0
17.23742,29.74700,1.15960,278.50000,23.81000,137.56000,17.06000,18.56000,0
17.63926,29.74700,1.15960,278.50000,23.81000,137.81000,17.06000,18.56000,0
18.04460,29.74700,1.15960,278.50000,23.81000,137.81000,17.06000,18.56000,0
18.43336,29.74700,1.15960,278.50000,23.81000,137.81000,17.06000,18.56000,0
18.83778,29.74700,1.15960,278.50000,23.81000,137.81000,17.06000,18.56000,0
19.22806,29.74700,1.15960,278.50000,23.81000,137.88000,17.12000,18.56000,0
19.63109,29.74700,1.15960,278.50000,23.81000,137.88000,17.19000,18.56000,0
20.03566,29.74600,1.15960,278.50000,23.81000,137.94000,17.25000,18.56000,0
20.42233,29.74600,1.15960,278.56000,23.81000,138.06000,17.31000,18.56000,0
20.82740,29.74600,1.15960,278.56000,23.81000,138.19000,17.31000,18.56000,0
21.23033,29.74600,1.15960,278.63000,23.81000,138.31000,17.31000,18.56000,0
21.61927,29.74600,1.15960,278.69000,23.81000,138.44000,17.37000,18.56000,0
22.02432,29.74600,1.15960,278.69000,23.81000,138.50000,17.44000,18.56000,0
22.41352,29.74600,1.15960,278.69000,23.81000,138.50000,17.50000,18.56000,0
22.81884,29.74600,1.15960,278.69000,23.81000,138.56000,17.56000,18.56000,0
23.22259,29.74500,1.15960,278.69000,23.81000,138.63000,17.56000,18.56000,0
23.61037,29.74500,1.15960,278.69000,23.81000,138.75000,17.56000,18.56000,0
24.01475,29.74500,1.15960,278.69000,23.81000,138.75000,17.56000,18.56000,0
24.41887,29.74500,1.15950,278.69000,23.81000,138.81000,17.62000,18.56000,0
24.80755,29.74500,1.15960,278.69000,23.81000,138.88000,17.62000,18.56000,0
25.21474,29.74500,1.15950,278.75000,23.81000,138.88000,17.69000,18.56000,0
25.60286,29.74500,1.15950,278.81000,23.81000,138.88000,17.69000,18.62000,0
26.00703,29.74400,1.15950,278.88000,23.81000,138.88000,17.69000,18.62000,0
26.40953,29.74400,1.15960,278.88000,23.81000,138.88000,17.75000,18.69000,0
26.79573,29.74400,1.15950,278.94000,23.81000,138.88000,17.81000,18.69000,0
27.19910,29.74400,1.15950,278.94000,23.81000,138.88000,17.87000,18.75000,0
27.60364,29.74400,1.15950,279.00000,23.81000,138.88000,17.87000,18.81000,0
27.99462,29.74400,1.15960,279.06000,23.81000,138.88000,17.87000,18.87000,0
28.39685,29.74400,1.15950,279.13000,23.81000,138.88000,17.94000,18.87000,0
28.80005,29.74400,1.15950,279.13000,23.81000,138.88000,17.94000,18.87000,0
29.18855,29.74400,1.15960,279.13000,23.81000,138.94000,18.00000,18.87000,0
29.59474,29.74300,1.15950,279.13000,23.81000,139.00000,18.00000,18.94000,0
29.99818,29.74300,1.15950,279.13000,23.81000,139.06000,18.06000,18.94000,0
30.38680,29.74300,1.15960,279.13000,23.81000,139.13000,18.06000,19.00000,0
30.79224,29.74300,1.15950,279.13000,23.81000,139.13000,18.12000,19.00000,0
31.18123,29.74300,1.15960,279.19000,23.81000,139.25000,18.12000,19.00000,0
31.58239,29.74300,1.15960,279.25000,23.81000,139.31000,18.12000,19.06000,0
31.98490,29.74300,1.15960,279.25000,23.81000,139.31000,18.12000,19.06000,0
32.38969,29.74300,1.15950,279.25000,23.81000,139.38000,18.12000,19.06000,0
32.77698,29.74300,1.15950,279.31000,23.81000,139.38000,18.12000,19.19000,0
33.17958,29.74300,1.15950,279.31000,23.81000,139.44000,18.19000,19.19000,0
33.57172,29.74300,1.15950,279.31000,23.81000,139.44000,18.25000,19.19000,0
33.97694,29.74300,1.15950,279.38000,23.81000,139.44000,18.25000,19.19000,0
34.38218,29.74200,1.15950,279.44000,23.81000,139.44000,18.31000,19.25000,0
34.76910,29.74200,1.15950,279.44000,23.81000,139.44000,18.31000,19.25000,0
35.17304,29.74200,1.15950,279.44000,23.81000,139.44000,18.37000,19.31000,0
35.57704,29.74200,1.15950,279.50000,23.81000,139.44000,18.44000,19.31000,0
35.96730,29.74200,1.15950,279.50000,23.81000,139.63000,18.44000,19.37000,0
36.36898,29.74200,1.15950,279.50000,23.81000,139.69000,18.44000,19.44000,0
36.75909,29.74200,1.15950,279.50000,23.81000,139.69000,18.44000,19.44000,0
37.16373,29.74100,1.15960,279.50000,23.81000,139.75000,18.44000,19.44000,0
37.56701,29.74100,1.15950,279.50000,23.81000,139.88000,18.50000,19.44000,0
37.96818,29.74100,1.15960,279.50000,23.81000,139.88000,18.56000,19.50000,0
38.35677,29.74100,1.15960,279.50000,23.81000,139.88000,18.56000,19.56000,0
38.75965,29.74100,1.15960,279.50000,23.81000,139.88000,18.56000,19.62000,0
39.16364,29.74100,1.15960,279.50000,23.81000,140.00000,18.56000,19.62000,0
39.55024,29.74000,1.15950,279.50000,23.81000,140.06000,18.69000,19.62000,0
39.95625,29.74000,1.15950,279.50000,23.81000,140.19000,18.75000,19.69000,0
40.34589,29.74000,1.15960,279.50000,23.81000,140.19000,18.75000,19.69000,0
40.75110,29.74000,1.15960,279.50000,23.81000,140.25000,18.81000,19.69000,0
41.15118,29.74000,1.15950,279.50000,23.81000,140.25000,18.87000,19.81000,0
41.54047,29.74000,1.15960,279.50000,23.81000,140.31000,18.94000,19.81000,0
41.94369,29.74000,1.15960,279.50000,23.81000,140.38000,18.94000,19.87000,0
42.34772,29.74000,1.15960,279.50000,23.81000,140.50000,19.00000,19.87000,0
42.74616,29.73900,1.15960,279.50000,23.81000,140.56000,19.00000,19.87000,0
43.13644,29.73900,1.15950,279.50000,23.81000,140.63000,19.00000,19.94000,0
43.54140,29.73900,1.15950,279.50000,23.81000,140.69000,19.06000,20.00000,0
43.93100,29.73900,1.15950,279.50000,23.81000,140.69000,19.12000,20.00000,0
44.33464,29.73900,1.15950,279.50000,23.81000,140.69000,19.12000,20.06000,0
44.73916,29.73900,1.15950,279.50000,23.81000,140.69000,19.12000,20.06000,0
45.12924,29.73900,1.15950,279.50000,23.81000,140.69000,19.19000,20.06000,0
45.53437,29.73900,1.15960,279.56000,23.81000,140.69000,19.19000,20.12000,0
45.93756,29.73800,1.15950,279.56000,23.81000,140.69000,19.19000,20.19000,0
46.32796,29.73800,1.15950,279.56000,23.81000,140.69000,19.25000,20.25000,0
46.73312,29.73800,1.15950,279.56000,23.81000,140.69000,19.25000,20.25000,0
47.12223,29.73800,1.15950,279.56000,23.81000,140.69000,19.31000,20.31000,0
47.52658,29.73800,1.15950,279.63000,23.81000,140.69000,19.31000,20.31000,0
47.93142,29.73800,1.15950,279.63000,23.81000,140.69000,19.31000,20.31000,0
48.32190,29.73800,1.15950,279.63000,23.81000,140.63000,19.37000,20.37000,0
48.72709,29.73700,1.15950,279.63000,23.81000,140.63000,19.37000,20.44000,0
49.11774,29.73700,1.15950,279.63000,23.81000,140.63000,19.37000,20.56000,0
49.52231,29.73700,1.15950,279.63000,23.81000,140.56000,19.37000,20.56000,0
49.92299,29.73700,1.15950,279.63000,23.81000,140.56000,19.37000,20.56000,0
50.31306,29.73700,1.15960,279.63000,23.81000,140.56000,19.56000,20.62000,0
50.71738,29.73700,1.15960,279.63000,23.81000,140.56000,19.56000,20.62000,0
51.10592,29.73700,1.15960,279.63000,23.81000,140.56000,19.62000,20.69000,0
51.50855,29.73600,1.15960,279.63000,23.81000,140.69000,19.62000,20.75000,0
51.91283,29.73600,1.15960,279.63000,23.81000,140.75000,19.62000,20.75000,0
52.31228,29.73600,1.15960,279.63000,23.81000,140.81000,19.62000,20.81000,0
52.70226,29.73600,1.15960,279.63000,23.81000,140.94000,19.62000,20.81000,0
53.10563,29.73600,1.15960,279.50000,23.81000,140.94000,19.62000,20.87000,0
53.51013,29.73600,1.15960,279.50000,23.81000,141.00000,19.69000,20.94000,0
53.90176,29.73600,1.15960,279.50000,23.81000,141.06000,19.69000,20.94000,0
54.30360,29.73600,1.15960,279.50000,23.81000,141.13000,19.81000,21.00000,0
54.69142,29.73500,1.15970,279.50000,23.81000,141.13000,19.87000,21.00000,0
55.09299,29.73500,1.15960,279.50000,23.81000,141.13000,20.00000,21.12000,0
